gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	2.58126e+08	2.91573e+09	19.3481	4.90045e+10	             	                 	        	          
1  	423   	2.65687e+11	5.93269e+12	19.3481	1.32792e+14	21.6416      	39.5038          	5.114   	5         
2  	438   	1.76479e+09	2.33899e+10	19.3481	4.6532e+11 	21.6416      	39.5038          	5.182   	5         
3  	418   	4.31117e+08	5.47204e+09	19.1526	9.30434e+10	22.6933      	40.1649          	5.178   	10        
4  	430   	4.41063e+07	7.90768e+08	19.3481	1.74895e+10	21.6416      	39.5038          	4.936   	5         
5  	415   	1.28347e+08	2.12588e+09	19.3481	4.44888e+10	21.6416      	39.5038          	4.808   	5         
6  	397   	3.76276e+10	8.21263e+11	18.9731	1.83806e+13	22.0201      	39.4433          	4.56    	7         
7  	396   	2.42164e+09	4.30422e+10	17.1211	9.36521e+11	18.6027      	35.7621          	5.224   	9         
8  	423   	1.10155e+13	2.46064e+14	18.8205	5.50766e+15	21.686       	39.0159          	5.352   	11        
9  	402   	7.80929e+09	1.74089e+11	18.8205	3.89665e+12	21.686       	39.0159          	5.104   	11        
10 	422   	2.87408e+08	5.98639e+09	18.8269	1.33776e+11	21.6402      	38.6677          	4.998   	13        
11 	409   	1.66139e+07	3.35633e+08	18.8269	7.50587e+09	21.6402      	38.6677          	4.862   	13        
12 	422   	1.01788e+09	1.24725e+10	18.8269	2.18294e+11	21.6402      	38.6677          	5.622   	13        
13 	438   	2.80278e+08	3.54517e+09	18.8269	6.15205e+10	21.6402      	38.6677          	5.652   	13        
14 	426   	1.60441e+09	1.92386e+10	18.8291	2.84189e+11	21.6537      	38.6702          	5.526   	11        
15 	413   	5.81836e+12	1.29972e+14	18.7005	2.90918e+15	21.6765      	38.3783          	6.55    	11        
16 	396   	1.21737e+08	2.70286e+09	18.8291	6.0499e+10 	21.6537      	38.6702          	7.14    	11        
17 	430   	9.5822e+09 	2.13446e+11	18.6829	4.77759e+12	20.8245      	39.6832          	7.596   	11        
18 	418   	1.40363e+06	1.68807e+07	18.5239	3.73782e+08	20.703       	39.3133          	8.382   	24        
19 	416   	8.01407e+08	1.76086e+10	18.5239	3.94112e+11	20.703       	39.3133          	8.716   	24        
