gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.89549e+08	2.54167e+09	72.3613	4.73945e+10	             	                 	        	          
1  	425   	255399     	1.6809e+06 	62.4228	2.98528e+07	63.3767      	90.1296          	4.1     	5         
2  	428   	1.858e+08  	2.93219e+09	62.4228	4.83074e+10	63.3767      	90.1296          	4.206   	5         
3  	444   	102383     	517673     	62.4228	6.133e+06  	63.3767      	90.1296          	4.222   	5         
4  	405   	4.4765e+08 	9.99752e+09	65.2655	2.23775e+11	65.5337      	59.312           	4.54    	4         
5  	424   	54773.4    	297706     	65.2655	3.59345e+06	65.5337      	59.312           	4.404   	4         
6  	431   	91047.9    	665011     	62.4228	1.17095e+07	63.3767      	90.1296          	5.766   	5         
7  	410   	51724.1    	339733     	65.2655	3.434e+06  	65.5337      	59.312           	6.22    	4         
8  	405   	5.7055e+09 	1.25342e+11	20.308 	2.80524e+12	20.4073      	34.3967          	6.444   	8         
9  	416   	1.5273e+08 	3.35005e+09	19.1546	7.49748e+10	19.0324      	32.6881          	6.278   	8         
10 	434   	225090     	3.38611e+06	19.1546	7.52737e+07	19.0324      	32.6881          	6.952   	8         
11 	416   	76063.8    	405486     	18.9379	3.41408e+06	18.9111      	32.7505          	7.79    	15        
12 	416   	3.44552e+07	7.57981e+08	19.1546	1.69657e+10	19.0324      	32.6881          	8.908   	8         
13 	431   	156715     	1.07255e+06	18.7084	1.28e+07   	18.6387      	31.9239          	10.844  	11        
14 	425   	7.40525e+08	1.65281e+10	18.7943	3.6995e+11 	19.2214      	31.2757          	11.93   	23        
15 	405   	3.01286e+08	6.72744e+09	18.199 	1.50581e+11	18.297       	30.5563          	12.794  	25        
16 	415   	55214.5    	351946     	18.199 	3.25088e+06	18.297       	30.5563          	14.564  	25        
17 	428   	2.30088e+07	5.0066e+08 	18.5674	1.1206e+10 	18.4194      	32.3325          	15.092  	16        
18 	402   	2.60789e+09	5.8254e+10 	18.0896	1.3039e+12 	18.0653      	32.0918          	15.846  	19        
19 	436   	3.39389e+07	7.55868e+08	18.2136	1.69187e+10	18.2867      	30.85            	15.794  	23        
20 	431   	126987     	977030     	17.9709	1.32958e+07	18.1101      	29.376           	17.034  	28        
21 	431   	571444     	1.04902e+07	17.4342	2.34392e+08	17.4297      	29.9839          	19.114  	29        
22 	417   	398860     	7.35137e+06	17.3654	1.64286e+08	17.4001      	30.2378          	20.628  	25        
23 	422   	4.47615e+08	9.99787e+09	16.7337	2.23783e+11	17.2735      	29.3226          	27.546  	34        
24 	436   	309228     	3.17995e+06	16.6931	5.86315e+07	16.4902      	27.5139          	24.472  	47        
25 	432   	62913.2    	408598     	16.5792	4.86101e+06	16.4148      	28.5263          	26.708  	34        
26 	423   	273286     	2.95511e+06	16.54  	4.74128e+07	16.5459      	28.3028          	27.524  	39        
27 	436   	24492.9    	230920     	15.537 	3.14724e+06	15.8101      	28.179           	30.106  	54        
28 	420   	35455      	268889     	15.537 	3.23019e+06	15.8101      	28.179           	34.032  	54        
29 	403   	27216.1    	234689     	15.537 	3.22553e+06	15.8101      	28.179           	36.204  	54        
30 	409   	13399.4    	143840     	15.2279	1.89639e+06	15.6728      	27.8835          	37.826  	52        
31 	422   	31036.1    	273478     	15.2279	3.2805e+06 	15.6728      	27.8835          	52.254  	52        
32 	399   	42039.2    	449322     	15.2279	8.50985e+06	15.6728      	27.8835          	52.284  	52        
33 	405   	68728.2    	930058     	15.0425	1.63226e+07	15.2364      	26.0844          	52.382  	70        
34 	418   	17014.9    	170359     	14.9991	2.16861e+06	16.1268      	26.2283          	51.396  	73        
35 	408   	56541.7    	618353     	14.5518	1.18184e+07	14.6891      	25.3085          	52.448  	51        
36 	416   	15935.9    	199829     	13.7494	3.14404e+06	14.1668      	24.6537          	54.492  	105       
37 	430   	29456.7    	436576     	13.7494	9.09769e+06	14.1668      	24.6537          	68.136  	105       
38 	411   	24937.6    	238261     	13.6273	3.31432e+06	14.3592      	25.5064          	72.006  	106       
39 	418   	32820.7    	546353     	13.3234	1.18174e+07	14.1625      	24.2425          	87.812  	105       
40 	432   	37493.2    	303896     	13.1762	3.28093e+06	14.4374      	21.6447          	90.036  	197       
41 	421   	38848.5    	450955     	12.9975	8.46794e+06	14.2824      	21.7241          	90.066  	197       
42 	428   	2157.16    	14351.2    	12.8007	108191     	14.397       	22.7821          	99.148  	191       
43 	418   	22515.2    	272684     	12.2314	4.90362e+06	13.6125      	22.412           	103.214 	177       
44 	411   	20885.4    	228730     	11.5677	3.14447e+06	13.6072      	24.2506          	159.506 	192       
45 	436   	8202.87    	122845     	11.5677	2.08988e+06	13.6072      	24.2506          	172.914 	192       
46 	420   	33522.9    	303963     	10.6697	3.14468e+06	12.0481      	22.2009          	176.754 	153       
47 	432   	2889.47    	30426.2    	10.3665	458448     	11.9422      	22.0712          	156.904 	153       
48 	434   	37439      	570213     	10.3665	1.19777e+07	11.9422      	22.0712          	154.662 	153       
49 	427   	7802.94    	140935     	10.3027	3.14457e+06	10.8035      	18.8418          	153.908 	168       
50 	413   	10834.5    	162393     	9.94778	3.14386e+06	11.0891      	19.7275          	154.18  	153       
51 	429   	15445.8    	204640     	10.3665	3.32281e+06	11.9422      	22.0712          	156.214 	153       
52 	432   	14437.8    	185111     	10.4561	3.68016e+06	10.9187      	18.8519          	157.312 	185       
53 	428   	17137.3    	213818     	10.4561	3.14456e+06	10.9187      	18.8519          	156.69  	185       
54 	408   	17538.9    	247157     	10.3641	4.44896e+06	11.2608      	20.0957          	157.5   	158       
55 	435   	73393.2    	1.61517e+06	10.3576	3.61528e+07	10.7155      	19.768           	154.856 	169       
56 	428   	2534.85    	15770.8    	10.3641	119230     	11.2608      	20.0957          	153.18  	158       
57 	432   	2.43473e+06	5.42424e+07	10.2491	1.21412e+09	11.1253      	19.6638          	152.904 	149       
58 	420   	1406.97    	11556.7    	10.3446	102386     	10.7928      	19.2421          	153.13  	167       
59 	412   	4710.05    	80308.9    	10.2447	1.78515e+06	11.701       	20.8355          	152.938 	150       
60 	409   	28797.2    	465915     	10.2305	9.9327e+06 	11.8004      	21.4888          	154.496 	148       
61 	412   	30728.6    	410866     	10.2447	8.28157e+06	11.701       	20.8355          	153.866 	150       
62 	415   	6193.9     	82927.6    	10.1927	1.78639e+06	10.8931      	19.4326          	152.626 	160       
63 	387   	391183     	7.05794e+06	10.1927	1.55949e+08	10.8931      	19.4326          	151.994 	160       
64 	403   	36753      	467522     	10.0057	8.04059e+06	10.1213      	17.9812          	153.462 	177       
65 	422   	25220.1    	455351     	10.0057	1.00278e+07	10.1213      	17.9812          	155.882 	177       
66 	441   	3.41687e+07	7.57781e+08	10.3305	1.69613e+10	12.2769      	20.8093          	155.508 	203       
67 	399   	11477.6    	164876     	10.138 	3.22472e+06	10.6144      	18.9413          	155.32  	171       
68 	426   	5518.86    	80897.8    	9.92477	1.78607e+06	10.4175      	19.4228          	157.21  	181       
69 	451   	25507.4    	526893     	10.2657	1.17915e+07	10.9337      	21.1166          	157.068 	190       
70 	433   	17019.7    	213784     	10.3305	3.14444e+06	12.2769      	20.8093          	155.302 	203       
71 	442   	9160.24    	174419     	10.3162	3.89716e+06	11.67        	20.4181          	155.696 	151       
72 	428   	8604.44    	113238     	10.3305	1.78599e+06	12.2769      	20.8093          	155.698 	203       
73 	436   	6399.81    	83346.3    	10.3968	1.78547e+06	11.2758      	19.7936          	156.382 	171       
74 	410   	2288.45    	26943.2    	10.0113	558889     	10.1468      	18.8581          	155.87  	182       
75 	429   	11500.5    	218363     	10.0113	4.86629e+06	10.1468      	18.8581          	157.99  	182       
76 	415   	1948.12    	13682.5    	10.0113	108174     	10.1468      	18.8581          	157.324 	182       
77 	411   	892314     	1.97745e+07	10.2709	4.42615e+08	11.1919      	20.3168          	156.826 	145       
78 	416   	18727.9    	225871     	10.2709	3.22553e+06	11.1919      	20.3168          	157.102 	149       
79 	420   	6763.29    	84958.9    	10.075 	1.78568e+06	11.0338      	20.3784          	154.792 	192       
80 	416   	3.39858e+07	7.57982e+08	10.2033	1.6966e+10 	11.1569      	18.6057          	157.324 	131       
81 	439   	91674.8    	1.2329e+06 	10.0706	2.02687e+07	10.7648      	18.4493          	156.784 	185       
82 	402   	84670.5    	1.14695e+06	10.0706	1.81807e+07	10.7648      	18.4493          	159.04  	185       
83 	407   	6.58649e+06	1.47048e+08	10.2657	3.2914e+09 	10.6992      	19.4121          	162.124 	193       
84 	411   	38606.6    	807011     	10.1762	1.80579e+07	10.6064      	18.3339          	162.136 	195       
85 	392   	11299.1    	164697     	10.2657	3.14362e+06	10.6992      	19.4121          	162.474 	193       
86 	398   	11846      	162978     	10.2806	3.1443e+06 	11.5417      	20.5662          	163.708 	173       
87 	436   	1008.31    	9674.66    	10.2806	115498     	11.5417      	20.5662          	164.34  	173       
88 	404   	56888.1    	846748     	9.96477	1.81715e+07	11.0041      	19.2458          	162.054 	114       
89 	400   	923621     	2.0452e+07 	9.96477	4.57775e+08	11.0041      	19.2458          	166.532 	114       
90 	424   	3.41253e+07	7.59867e+08	9.96477	1.70082e+10	11.0041      	19.2458          	168.296 	114       
91 	438   	762610     	1.61019e+07	9.96477	3.60166e+08	11.0041      	19.2458          	169.424 	114       
