gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	8.62886e+08	1.61998e+10	105.577	3.59161e+11	             	                 	        	          
1  	398   	6.762e+07  	1.50354e+09	64.4545	3.36542e+10	66.3447      	59.66            	3.09    	4         
2  	435   	3.63802e+07	7.55388e+08	64.4545	1.68594e+10	66.3447      	59.66            	4.118   	4         
3  	428   	2.38672e+07	5.31783e+08	64.45  	1.1903e+10 	66.3386      	59.6728          	4.308   	6         
4  	405   	26015.2    	199109     	64.1161	4.34167e+06	65.6733      	62.6752          	4.71    	7         
5  	431   	49443.1    	345999     	64.1161	6.17795e+06	65.6733      	62.6752          	5.112   	7         
6  	416   	121886     	1.4967e+06 	64.0368	3.04183e+07	66.0289      	58.6859          	5.496   	6         
7  	423   	76914.4    	809530     	63.2146	1.55606e+07	62.5849      	93.2887          	6.304   	5         
8  	423   	15192.3    	58619.8    	64.0368	466272     	66.0289      	58.6859          	6.872   	6         
9  	411   	6.65651e+06	1.4798e+08 	59.1068	3.31227e+09	60.3231      	70.1852          	7.162   	8         
10 	424   	2.69666e+06	5.99526e+07	64.0368	1.34194e+09	66.0289      	58.6859          	8.232   	6         
11 	420   	2.7108e+06 	5.99916e+07	64.0368	1.34281e+09	66.0289      	58.6859          	7.172   	6         
12 	428   	29008.9    	284500     	64.0619	6.20231e+06	66.0618      	58.6338          	8.18    	8         
13 	416   	16748.3    	80933.8    	63.6522	1.38878e+06	66.1166      	55.7552          	8.73    	8         
14 	429   	34207.7    	518394     	63.1241	1.15513e+07	67.6133      	59.7991          	9.756   	10        
15 	398   	6.66208e+06	1.48491e+08	60.5997	3.32369e+09	64.9407      	57.3946          	10.606  	11        
16 	413   	25374.2    	284886     	57.2854	6.20183e+06	61.4166      	54.4315          	11.034  	18        
17 	416   	8564.77    	36696.3    	32.6437	459429     	35.5421      	52.3652          	17.498  	17        
18 	416   	16157.3    	232001     	28.0743	5.17258e+06	32.4129      	41.5783          	18.072  	30        
19 	425   	9.78158e+07	2.18481e+09	28.0736	4.89028e+10	32.4122      	41.5785          	19.772  	32        
20 	415   	42666.6    	847248     	21.6429	1.89623e+07	27.1208      	40.6304          	21.62   	31        
21 	403   	4276.62    	24486      	21.6429	374901     	27.1208      	40.6304          	23.934  	31        
22 	432   	6712.01    	34872      	21.5721	393418     	27.0534      	40.6509          	22.99   	40        
23 	440   	1.37773e+07	3.07591e+08	21.3534	6.88484e+09	26.974       	41.5511          	25.652  	41        
24 	428   	6939.15    	65373.2    	21.3896	1.39996e+06	27.0013      	41.5321          	27.452  	33        
25 	418   	3825.22    	26999.6    	21.0435	466171     	26.4313      	40.3014          	36.332  	52        
26 	428   	5978.73    	42072      	21.0772	700628     	26.5214      	40.295           	37.914  	64        
27 	421   	3938.41    	31568.1    	21.2972	439003     	26.7918      	40.7142          	39.182  	44        
28 	426   	6120.57    	82064      	21.0951	1.79967e+06	26.5588      	40.37            	42.824  	55        
29 	421   	21225.2    	377049     	20.8119	8.41094e+06	26.3165      	40.5193          	43.566  	56        
30 	426   	185592     	3.84488e+06	20.8113	8.585e+07  	26.3144      	40.511           	44.996  	56        
31 	412   	3587.22    	24700.8    	20.1776	439003     	25.5609      	38.7833          	45.91   	38        
