gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	7.37195e+08	1.03891e+10	70.7569	2.21003e+11	             	                 	        	          
1  	432   	4.44456e+06	8.80765e+07	55.1119	1.96971e+09	54.0937      	83.6339          	2.838   	3         
2  	420   	4.6519e+08 	9.88415e+09	70.7569	2.20965e+11	69.1455      	100.366          	2.634   	3         
3  	437   	299355     	5.23418e+06	70.7569	1.14323e+08	69.1455      	100.366          	3.202   	3         
4  	428   	79016.7    	734502     	40.6163	1.34545e+07	41.2465      	46.9928          	3.202   	4         
5  	411   	28185.8    	261210     	40.6163	4.29574e+06	41.2465      	46.9928          	3.188   	4         
6  	433   	532804     	6.68616e+06	40.6163	1.38866e+08	41.2465      	46.9928          	3.234   	4         
7  	432   	1.31535e+10	2.40515e+11	40.6163	5.20975e+12	41.2465      	46.9928          	3.2     	4         
8  	431   	100929     	1.65994e+06	40.6163	3.64022e+07	41.2465      	46.9928          	3.166   	4         
9  	420   	8.9179e+07 	1.96705e+09	50.4609	4.40267e+10	49.6155      	78.2421          	3.198   	4         
10 	405   	475029     	9.63607e+06	70.7569	2.15516e+08	69.1455      	100.366          	3.174   	3         
11 	421   	1.07673e+08	1.72053e+09	70.7569	3.13483e+10	69.1455      	100.366          	3.204   	3         
12 	417   	399112     	5.81339e+06	70.7569	1.27164e+08	69.1455      	100.366          	3.222   	3         
13 	407   	892925     	1.05643e+07	23.5196	2.01611e+08	23.5326      	35.844           	3.28    	3         
14 	419   	2.2549e+06 	4.67133e+07	37.2499	1.04536e+09	36.4217      	49.7227          	3.374   	3         
15 	447   	9.65048e+07	2.13299e+09	37.2499	4.77431e+10	36.4217      	49.7227          	3.252   	3         
16 	433   	3.70329e+08	7.00651e+09	37.2499	1.53725e+11	36.4217      	49.7227          	3.336   	3         
17 	438   	77124.1    	776355     	47.1265	1.2464e+07 	44.7077      	75.0637          	3.342   	5         
18 	424   	123489     	1.02225e+06	45.6009	1.22298e+07	44.3544      	58.2495          	3.394   	3         
19 	397   	8.28999e+08	1.851e+10  	47.1265	4.14311e+11	44.7077      	75.0637          	3.414   	5         
20 	415   	1.28058e+09	2.62981e+10	66.5498	5.8675e+11 	64.2925      	76.5646          	3.33    	5         
21 	412   	60854.2    	571627     	47.1265	1.02162e+07	44.7077      	75.0637          	3.418   	5         
22 	414   	1.09803e+06	1.99931e+07	66.5498	4.45342e+08	64.2925      	76.5646          	3.356   	5         
23 	430   	1.80739e+06	2.8549e+07 	37.0991	6.20458e+08	36.8309      	46.1812          	3.44    	5         
24 	403   	5.49523e+08	1.22729e+10	25.3901	2.74704e+11	25.5927      	33.3818          	3.408   	7         
25 	418   	709535     	9.68976e+06	25.3901	1.65339e+08	25.5927      	33.3818          	3.436   	7         
26 	406   	1.40855e+08	2.35472e+09	25.3901	4.77431e+10	25.5927      	33.3818          	3.35    	7         
27 	427   	2.70295e+06	5.85663e+07	37.0991	1.31087e+09	36.8309      	46.1812          	3.302   	5         
28 	416   	110176     	895871     	37.0991	1.22298e+07	36.8309      	46.1812          	3.326   	5         
29 	413   	6.77923e+09	1.51433e+11	25.2084	3.38954e+12	25.2658      	31.5744          	3.416   	6         
30 	435   	7.84158e+08	1.75046e+10	37.0991	3.91806e+11	36.8309      	46.1812          	3.436   	5         
31 	428   	224950     	1.60706e+06	37.0991	2.54999e+07	36.8309      	46.1812          	3.506   	5         
32 	419   	1.80595e+13	4.03418e+14	37.0991	9.02974e+15	36.8309      	46.1812          	3.676   	5         
33 	427   	3.16846e+07	5.37158e+08	37.0991	1.15045e+10	36.8309      	46.1812          	3.948   	5         
34 	426   	908732     	1.51116e+07	26.8464	3.35569e+08	26.8071      	44.0085          	3.872   	3         
35 	418   	4.49936e+07	9.97397e+08	26.8464	2.23251e+10	26.8071      	44.0085          	4.004   	3         
36 	421   	1.67153e+07	3.61826e+08	23.2567	8.09828e+09	21.0057      	31.3191          	5.808   	7         
37 	410   	6.49197e+06	1.30315e+08	22.1917	2.91366e+09	21.5536      	35.6696          	6.124   	10        
38 	406   	110813     	889053     	22.1773	1.02957e+07	21.9158      	35.5753          	6.208   	15        
39 	414   	1.07481e+08	2.14416e+09	22.1917	4.77431e+10	21.5536      	35.6696          	6.892   	10        
40 	418   	3.45072e+09	7.6947e+10 	22.1917	1.72231e+12	21.5536      	35.6696          	7.862   	10        
41 	405   	446167     	8.22646e+06	22.158 	1.8333e+08 	20.998       	33.1789          	8.472   	10        
42 	419   	742611     	1.57054e+07	21.8886	3.51448e+08	21.4425      	34.5609          	9.882   	19        
43 	440   	16922.1    	149129     	18.9066	2.88297e+06	18.3887      	28.4384          	10.392  	19        
44 	423   	2.70411e+06	5.64079e+07	18.9066	1.25988e+09	18.3887      	28.4384          	11.05   	19        
45 	438   	3.28131e+07	7.29155e+08	18.9066	1.63208e+10	18.3887      	28.4384          	10.726  	19        
46 	419   	46564.7    	608671     	18.1435	1.2601e+07 	17.5906      	18.9014          	11.36   	22        
47 	413   	9.59458e+07	2.14309e+09	17.3619	4.79689e+10	16.6944      	22.5228          	15.828  	22        
48 	409   	16529.4    	221668     	17.2403	4.84147e+06	16.5778      	22.2461          	18.82   	23        
49 	393   	66663      	759627     	16.366 	1.34419e+07	15.9911      	21.404           	20.24   	25        
50 	423   	134634     	2.76139e+06	16.0497	6.16914e+07	15.5745      	21.5572          	20.298  	27        
51 	403   	29955.5    	544633     	15.9478	1.21462e+07	15.4907      	23.7625          	21.492  	23        
52 	415   	393006     	5.47441e+06	14.2121	1.1111e+08 	13.7103      	20.384           	22.69   	32        
53 	406   	3.30497e+07	7.36736e+08	13.8047	1.64905e+10	13.2468      	18.174           	30.59   	41        
54 	425   	4.41977e+08	9.87236e+09	13.7868	2.20974e+11	13.1793      	18.6654          	33.304  	46        
55 	406   	2.40076e+06	5.18637e+07	13.5703	1.16067e+09	13.0182      	18.3729          	36.012  	30        
56 	419   	3.2542e+07 	7.25192e+08	12.1139	1.62321e+10	11.9318      	16.1418          	39.338  	36        
57 	449   	58139.9    	767436     	11.8307	1.58912e+07	11.5565      	16.0922          	34.216  	39        
58 	434   	45891.4    	603343     	11.5765	1.23955e+07	11.1924      	16.4859          	36.726  	40        
59 	421   	1.04449e+06	2.16725e+07	11.746 	4.84958e+08	11.3754      	16.5997          	38.224  	36        
60 	440   	37769.2    	342415     	11.3262	4.34751e+06	10.9637      	16.6462          	38.886  	41        
61 	412   	32107.7    	337925     	11.3262	4.96433e+06	10.9637      	16.6462          	40.712  	41        
62 	420   	50630.2    	892866     	11.3262	1.98675e+07	10.9637      	16.6462          	43.266  	41        
63 	418   	1.17275e+07	2.60105e+08	11.214 	5.82199e+09	11.006       	16.2699          	46.394  	46        
64 	423   	8.10512e+06	1.35712e+08	11.3262	2.78225e+09	10.9637      	16.6462          	46.53   	41        
65 	428   	9.62306e+07	2.13369e+09	11.3961	4.77581e+10	10.8215      	15.2131          	46.848  	52        
66 	410   	54912.8    	791788     	11.3953	1.70304e+07	11.4395      	15.5505          	48.082  	62        
67 	405   	53889.7    	601805     	11.3082	1.14717e+07	10.9284      	15.8095          	48.998  	43        
68 	436   	320051     	4.45942e+06	11.3459	9.28567e+07	11.0254      	16.9309          	47.494  	56        
69 	424   	3.30091e+07	7.36822e+08	11.1462	1.64924e+10	11.3907      	15.4174          	48.782  	62        
70 	390   	209919     	3.02819e+06	10.9635	6.21982e+07	10.5678      	14.7116          	49.954  	72        
71 	394   	1.85975e+08	4.00684e+09	9.55823	8.9633e+10 	9.01834      	14.1095          	54.358  	54        
72 	409   	6.65074e+06	1.4543e+08 	8.51232	3.25499e+09	8.03492      	12.9394          	54.932  	63        
73 	413   	213667     	3.3717e+06 	8.32208	7.36359e+07	7.67322      	12.1153          	55.622  	61        
74 	415   	49587.2    	643029     	8.26368	1.24276e+07	7.75543      	12.2951          	55.828  	55        
75 	416   	6.95602e+06	1.47652e+08	7.94162	3.30114e+09	7.64947      	11.5764          	56.118  	68        
76 	430   	163119     	2.08131e+06	7.22161	3.94221e+07	7.34481      	11.9279          	58.706  	76        
77 	437   	2.43212e+06	5.18593e+07	6.67079	1.16068e+09	6.21748      	11.053           	64.88   	100       
78 	416   	307612     	5.22707e+06	6.67079	1.15007e+08	6.21748      	11.053           	67.19   	100       
79 	418   	54414.2    	591977     	6.67079	1.19759e+07	6.21748      	11.053           	68.702  	100       
80 	424   	2.04363e+06	4.38581e+07	6.27634	9.81464e+08	5.99136      	10.6491          	73.162  	96        
81 	418   	1.09751e+06	2.06507e+07	6.01107	4.59643e+08	5.63744      	10.5107          	85.526  	98        
82 	425   	113537     	1.50946e+06	6.10719	3.19248e+07	5.65667      	10.5005          	86.61   	112       
83 	409   	1.63567e+06	3.39247e+07	5.54858	7.58303e+08	5.84508      	8.99066          	87.09   	123       
84 	435   	386165     	7.69598e+06	5.90684	1.72004e+08	5.9583       	8.8257           	91.978  	138       
85 	424   	173313     	1.92621e+06	5.85966	3.87992e+07	5.50908      	9.2365           	93.466  	120       
86 	410   	36071.2    	288381     	5.26026	5.50998e+06	5.28832      	9.93382          	93.858  	117       
87 	414   	6.68402e+06	1.45373e+08	5.24411	3.25392e+09	5.2386       	9.97181          	99.088  	113       
88 	413   	145142     	2.28164e+06	5.24411	4.94665e+07	5.2386       	9.97181          	100.174 	113       
89 	428   	458481     	8.03053e+06	5.21612	1.73758e+08	5.23356      	9.96172          	100.134 	120       
90 	418   	1.38981e+06	2.76608e+07	5.25451	6.17142e+08	5.08219      	9.32232          	103.04  	117       
91 	437   	155875     	1.9907e+06 	4.69155	4.12779e+07	4.75242      	8.59927          	105.834 	147       
92 	399   	113343     	1.92806e+06	4.84252	4.28888e+07	4.88525      	8.52441          	106.534 	147       
93 	437   	24206.8    	236506     	5.14762	3.26099e+06	5.16362      	9.66349          	111.266 	117       
94 	403   	76958.9    	1.02374e+06	5.05317	2.02656e+07	5.56171      	8.29926          	113.302 	157       
95 	421   	748788     	1.27432e+07	4.2042 	2.79364e+08	4.44647      	8.52309          	118.71  	133       
96 	404   	11135.7    	88503.7    	4.2042 	1.63756e+06	4.44647      	8.52309          	135.602 	133       
97 	420   	1.33951e+09	2.86502e+10	4.01559	6.40751e+11	4.17521      	8.7789           	145.942 	143       
98 	416   	1.64987e+09	3.68541e+10	3.48076	8.24909e+11	3.95855      	7.69467          	134.21  	197       
99 	416   	149980     	2.2413e+06 	3.59392	4.50926e+07	4.07099      	7.74089          	132.462 	196       
100	413   	365670     	3.58996e+06	3.95584	5.38146e+07	4.03376      	8.41846          	132.722 	133       
