gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	7.90732e+09	1.73707e+11	83.275 	3.88791e+12	             	                 	        	          
1  	408   	8.08103e+07	1.64724e+09	64.0247	3.67287e+10	66.7745      	59.6515          	3.144   	4         
2  	435   	9.66626e+07	2.12964e+09	36.3256	4.76667e+10	37.3459      	52.0866          	3.316   	3         
3  	414   	7.86404e+09	1.72535e+11	36.3256	3.86168e+12	37.3459      	52.0866          	4.112   	3         
4  	430   	679111     	2.87906e+06	22.6656	3.8124e+07 	24.8469      	41.7004          	4.394   	9         
5  	419   	9.59293e+07	2.12956e+09	22.6656	4.76667e+10	24.8469      	41.7004          	4.56    	9         
6  	431   	1.50348e+08	2.74834e+09	36.3256	6.04236e+10	37.3459      	52.0866          	4.672   	3         
7  	423   	2.62786e+07	5.59142e+08	21.7152	1.25091e+10	23.0569      	39.4387          	5.264   	6         
8  	417   	7.06155e+08	1.09095e+10	24.6984	2.26883e+11	26.1697      	44.1986          	5.65    	6         
9  	425   	638232     	7.20454e+06	24.6984	1.59527e+08	26.1697      	44.1986          	5.99    	6         
10 	426   	9.56173e+07	2.12958e+09	19.2578	4.76667e+10	20.9346      	34.1729          	5.74    	7         
11 	437   	1.09181e+06	2.08777e+07	19.2578	4.66922e+08	20.9346      	34.1729          	6.346   	7         
12 	419   	328183     	1.63105e+06	19.2139	1.53809e+07	20.8494      	33.7619          	6.848   	8         
13 	424   	235245     	913306     	19.2139	1.18666e+07	20.8494      	33.7619          	7.426   	8         
14 	417   	5.39462e+07	1.15948e+09	19.2578	2.59415e+10	20.9346      	34.1729          	7.662   	7         
15 	438   	1.19758e+10	2.51414e+11	19.2578	5.61828e+12	20.9346      	34.1729          	8.332   	7         
16 	414   	2.9055e+07 	6.41682e+08	19.2857	1.43626e+10	20.884       	33.5184          	9.308   	10        
17 	415   	129147     	581326     	18.8815	5.2944e+06 	20.3987      	33.5224          	10.592  	9         
18 	406   	223441     	1.83634e+06	18.8815	3.45966e+07	20.3987      	33.5224          	12.42   	9         
19 	416   	3.43803e+07	7.58951e+08	19.2129	1.69878e+10	20.8478      	33.7581          	13.474  	10        
20 	430   	9.64569e+07	2.1435e+09 	19.1683	4.79783e+10	20.8188      	33.9403          	13.14   	9         
21 	417   	7.2901e+07 	1.5833e+09 	19.1683	3.54375e+10	20.8188      	33.9403          	14.37   	9         
22 	410   	2.4088e+07 	5.02311e+08	19.1683	1.12325e+10	20.8188      	33.9403          	15.426  	9         
23 	406   	3.28903e+06	6.73228e+07	19.1543	1.50532e+09	20.7797      	33.7019          	16.296  	18        
24 	413   	1.3185e+07 	2.79173e+08	19.1216	6.24575e+09	20.7625      	33.8809          	17.328  	10        
25 	423   	383916     	4.93128e+06	19.1134	1.07574e+08	20.7448      	33.7992          	17.086  	14        
26 	409   	1.2465e+15 	2.78446e+16	19.1133	6.23247e+17	20.7447      	33.799           	15.822  	16        
27 	431   	207551     	1.75536e+06	19.1064	3.33248e+07	20.7405      	33.8268          	18.796  	13        
28 	415   	115680     	848539     	19.0552	1.18666e+07	20.6816      	33.7716          	22.81   	18        
29 	436   	66398.7    	417747     	18.934 	3.53141e+06	20.5072      	33.4976          	17.034  	26        
30 	422   	81037.9    	455225     	18.9101	3.48092e+06	20.4965      	33.552           	18.344  	25        
31 	436   	217349     	2.32078e+06	18.908 	4.77575e+07	20.4659      	33.4651          	20.864  	33        
32 	407   	46191.7    	306848     	16.6121	3.14279e+06	17.3447      	27.1964          	25.85   	33        
33 	437   	9651.88    	145478     	16.3252	3.14279e+06	17.0596      	26.8499          	29.124  	15        
34 	423   	9.54902e+07	2.12958e+09	15.9424	4.76667e+10	16.3994      	25.4893          	14.18   	25        
35 	423   	1.63031e+06	3.44554e+07	15.8859	7.71229e+08	16.0791      	24.4903          	15.912  	33        
36 	424   	86401      	650729     	15.66  	8.99621e+06	16.1046      	25.1427          	18.59   	29        
37 	432   	149868     	1.30875e+06	15.888 	2.7166e+07 	16.5903      	26.2997          	19.792  	40        
38 	399   	311857     	4.87174e+06	15.8878	1.08277e+08	16.5744      	26.2503          	20.856  	38        
39 	431   	233805     	3.1363e+06 	15.8879	6.89957e+07	16.5744      	26.2504          	21.796  	38        
40 	417   	4.50956e+08	1.00395e+10	15.7361	2.24716e+11	15.786       	22.884           	23.954  	31        
41 	407   	70193.3    	650588     	14.9009	8.71715e+06	15.3199      	24.4487          	28.168  	52        
42 	400   	71388.7    	927954     	13.3786	1.98667e+07	13.0627      	18.9334          	49.534  	69        
43 	417   	23557.9    	287150     	12.3111	4.67355e+06	11.5061      	20.3233          	64.75   	63        
44 	414   	10584.7    	163315     	11.0079	3.27507e+06	10.5945      	18.4185          	58.086  	56        
45 	406   	35420.4    	557688     	10.8164	1.18666e+07	10.5514      	18.0136          	57.704  	59        
46 	422   	8.98159e+08	2.00632e+10	10.8349	4.49076e+11	10.5639      	18.1076          	58.096  	65        
47 	434   	25903.8    	288985     	10.8349	4.67151e+06	10.5639      	18.1076          	60.26   	65        
48 	424   	74402.6    	1.39562e+06	9.97935	3.10246e+07	9.94793      	15.1791          	61.914  	103       
49 	439   	23166.6    	256355     	9.47697	3.14279e+06	9.30137      	13.9466          	95.572  	108       
50 	415   	42103.5    	605859     	9.20471	1.27414e+07	9.30136      	14.3209          	97.214  	109       
51 	434   	3.41976e+07	7.63685e+08	9.19298	1.70936e+10	9.56302      	16.8603          	99.154  	96        
52 	426   	330645     	7.09529e+06	9.16354	1.58784e+08	9.40065      	14.7408          	99.65   	95        
53 	430   	224163     	4.40229e+06	9.20471	9.78609e+07	9.30136      	14.3209          	100.864 	109       
54 	427   	47277.8    	690634     	8.91609	1.27414e+07	9.58016      	15.3333          	101.434 	129       
55 	420   	28612.8    	421635     	8.91609	8.6952e+06 	9.58016      	15.3333          	101.514 	129       
56 	412   	196974     	4.29083e+06	8.58046	9.60268e+07	9.31719      	15.0424          	97.686  	106       
57 	403   	32958.1    	512858     	8.54164	8.49523e+06	9.24314      	14.3117          	100.39  	131       
58 	435   	18440.7    	204510     	8.91609	3.14279e+06	9.58016      	15.3333          	99.9    	129       
59 	417   	3840.63    	83285.6    	7.46974	1.86426e+06	8.41961      	11.752           	102.278 	101       
60 	437   	49597.3    	582297     	7.07647	1.17139e+07	8.50694      	12.871           	95.012  	103       
61 	415   	46717.4    	882297     	6.60174	1.95029e+07	7.4672       	10.5243          	95.778  	115       
62 	425   	4.35724e+08	9.73332e+09	6.60174	2.17862e+11	7.4672       	10.5243          	96.14   	115       
