gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.02272e+09	1.42552e+10	83.2333	2.23092e+11	             	                 	        	          
1  	407   	9.6439e+07 	2.14612e+09	83.2333	4.80371e+10	83.7981      	145.965          	2.798   	3         
2  	427   	2.32622e+07	5.17427e+08	83.2333	1.15817e+10	83.7981      	145.965          	2.832   	3         
3  	425   	3.23921e+08	7.2295e+09 	83.2333	1.61819e+11	83.7981      	145.965          	3.234   	3         
4  	413   	156803     	1.18974e+06	62.2979	1.19646e+07	63.2556      	96.4738          	3.218   	5         
5  	423   	165677     	1.21468e+06	62.2979	1.1999e+07 	63.2556      	96.4738          	3.32    	5         
6  	420   	200759     	1.66057e+06	83.2333	2.49936e+07	83.7981      	145.965          	3.22    	3         
7  	418   	465652     	5.64033e+06	83.2333	1.10761e+08	83.7981      	145.965          	3.244   	3         
8  	430   	3.58489e+09	6.3213e+10 	83.2333	1.34231e+12	83.7981      	145.965          	3.312   	3         
9  	402   	321466     	5.50671e+06	28.8899	1.22293e+08	24.1597      	29.8149          	3.24    	6         
10 	425   	158291     	1.28376e+06	28.2077	2.21711e+07	25.4458      	45.2575          	3.318   	3         
11 	408   	6.40772e+08	1.43094e+10	28.2077	3.20289e+11	25.4458      	45.2575          	3.302   	3         
12 	410   	1.23692e+08	2.11486e+09	28.2077	4.38769e+10	25.4458      	45.2575          	3.298   	3         
13 	407   	939768     	1.27032e+07	28.2077	2.76119e+08	25.4458      	45.2575          	3.196   	3         
14 	412   	9.67041e+07	2.14612e+09	28.2077	4.80371e+10	25.4458      	45.2575          	3.184   	3         
15 	432   	1.54662e+06	2.39715e+07	28.2077	4.67648e+08	25.4458      	45.2575          	3.228   	3         
16 	409   	3.85367e+08	8.60505e+09	28.2077	1.92608e+11	25.4458      	45.2575          	3.238   	3         
17 	420   	176731     	1.6854e+06 	28.2077	3.1612e+07 	25.4458      	45.2575          	3.204   	3         
18 	418   	827722     	1.56196e+07	28.2077	3.48905e+08	25.4458      	45.2575          	3.246   	3         
19 	435   	119857     	883056     	26.8977	1.31142e+07	23.6042      	39.2329          	3.23    	5         
20 	423   	5.35269e+08	1.1947e+10 	26.8977	2.67412e+11	23.6042      	39.2329          	3.292   	5         
21 	436   	1.21904e+08	2.20718e+09	28.2077	4.80371e+10	25.4458      	45.2575          	3.362   	3         
22 	424   	227067     	1.36083e+06	28.2077	1.56418e+07	25.4458      	45.2575          	3.408   	3         
23 	420   	924278     	1.50346e+07	22.5264	3.28828e+08	18.4633      	32.0558          	3.316   	5         
24 	441   	450007     	7.19294e+06	23.7133	1.59616e+08	21.5672      	36.3073          	3.416   	5         
25 	414   	2.69128e+09	5.99695e+10	28.2077	1.3423e+12 	25.4458      	45.2575          	3.48    	3         
26 	410   	6.96763e+08	1.55608e+10	28.2077	3.48298e+11	25.4458      	45.2575          	3.558   	3         
27 	424   	1.14992e+09	1.92089e+10	28.2077	3.88046e+11	25.4458      	45.2575          	3.704   	3         
28 	419   	5.36663e+08	1.19479e+10	28.2077	2.67432e+11	25.4458      	45.2575          	3.66    	3         
29 	427   	1.58078e+09	3.45643e+10	28.2077	7.73509e+11	25.4458      	45.2575          	3.592   	3         
30 	439   	148036     	1.03429e+06	28.2077	1.22948e+07	25.4458      	45.2575          	3.512   	3         
31 	409   	3.55551e+07	7.47734e+08	28.2077	1.67098e+10	25.4458      	45.2575          	3.434   	3         
32 	434   	6.40159e+08	1.21708e+10	28.2077	2.67412e+11	25.4458      	45.2575          	3.432   	3         
33 	394   	274993     	3.3243e+06 	28.2077	6.9798e+07 	25.4458      	45.2575          	3.388   	3         
34 	407   	172633     	1.79812e+06	21.755 	3.52814e+07	18.699       	31.7517          	3.382   	5         
35 	435   	743110     	7.96168e+06	28.2077	1.40749e+08	25.4458      	45.2575          	3.438   	3         
36 	396   	1.65522e+08	2.71167e+09	21.755 	5.30946e+10	18.699       	31.7517          	3.266   	5         
37 	441   	1.5403e+08 	3.37769e+09	23.7133	7.55938e+10	21.5672      	36.3073          	3.428   	5         
38 	411   	383608     	5.61846e+06	23.7133	1.23776e+08	21.5672      	36.3073          	3.424   	5         
39 	405   	1.53753e+09	3.43432e+10	24.0809	7.68706e+11	19.3734      	31.7302          	3.464   	6         
40 	411   	3.36698e+07	7.46529e+08	24.0809	1.67098e+10	19.3734      	31.7302          	3.53    	6         
41 	427   	8.09189e+06	1.72399e+08	24.0809	3.85842e+09	19.3734      	31.7302          	3.406   	6         
42 	423   	1.30862e+09	2.02241e+10	24.0809	3.20305e+11	19.3734      	31.7302          	3.494   	6         
43 	433   	3.72001e+08	8.28148e+09	21.0315	1.85366e+11	19.0706      	30.7188          	3.552   	5         
44 	420   	293299     	2.99138e+06	21.0315	5.27538e+07	19.0706      	30.7188          	3.508   	5         
45 	421   	1.76944e+06	2.4867e+07 	21.0315	4.58141e+08	19.0706      	30.7188          	3.72    	5         
46 	430   	1.87078e+06	2.59309e+07	21.0315	4.4845e+08 	19.0706      	30.7188          	3.812   	5         
47 	415   	389653     	5.86765e+06	28.2077	1.22293e+08	25.4458      	45.2575          	3.864   	3         
48 	430   	1.7423e+14 	3.89201e+15	28.2077	8.71151e+16	25.4458      	45.2575          	3.978   	3         
49 	407   	137060     	1.08662e+06	28.2077	1.22948e+07	25.4458      	45.2575          	4.138   	3         
50 	423   	1.05258e+08	2.34572e+09	24.798 	5.25047e+10	20.4151      	31.3098          	4.272   	9         
51 	425   	184639     	1.62222e+06	24.4245	2.43758e+07	22.0807      	38.1778          	4.224   	7         
52 	402   	78799.9    	630875     	23.7133	7.28121e+06	21.5672      	36.3073          	4.504   	5         
53 	422   	2.28904e+08	5.0382e+09 	23.7133	1.12764e+11	21.5672      	36.3073          	4.942   	5         
54 	425   	183996     	2.13134e+06	20.2263	4.486e+07  	18.1754      	23.7414          	5.508   	7         
55 	411   	5.83365e+09	1.30296e+11	23.7133	2.91643e+12	21.5672      	36.3073          	5.384   	5         
56 	421   	766339     	9.15988e+06	23.7133	1.62939e+08	21.5672      	36.3073          	5.638   	5         
57 	426   	2.67871e+06	4.70103e+07	23.5139	1.01577e+09	18.6774      	29.219           	6.048   	15        
58 	426   	280845     	3.07918e+06	22.9252	6.32501e+07	20.9015      	30.2554          	6.238   	7         
59 	410   	9.09237e+08	1.45686e+10	22.0748	2.67412e+11	20.3944      	33.6318          	6.666   	15        
60 	426   	655115     	9.27303e+06	21.0315	1.99666e+08	19.0706      	30.7188          	7.06    	5         
61 	424   	6.46441e+07	1.43434e+09	21.0315	3.21053e+10	19.0706      	30.7188          	7.864   	5         
62 	416   	2.1903e+06 	4.15997e+07	19.9806	9.27998e+08	18.057       	22.8641          	8.59    	6         
63 	425   	460741     	5.79234e+06	21.9701	1.1735e+08 	22.9029      	40.7858          	9.916   	17        
64 	426   	7.33235e+09	1.63774e+11	21.9701	3.66578e+12	22.9029      	40.7858          	10.608  	17        
65 	430   	474654     	8.72658e+06	21.284 	1.94727e+08	17.9295      	27.1557          	10.116  	16        
66 	424   	3.21949e+09	6.11259e+10	21.284 	1.34234e+12	17.9295      	27.1557          	10.106  	16        
67 	425   	1.1434e+06 	1.73065e+07	20.5079	3.59738e+08	21.527       	31.4582          	11.46   	8         
68 	431   	1.93558e+08	4.32203e+09	17.6368	9.67404e+10	14.9993      	28.6642          	15.714  	18        
69 	407   	4.61674e+07	1.02494e+09	17.6368	2.29414e+10	14.9993      	28.6642          	18.836  	18        
70 	424   	1.11568e+08	2.34938e+09	14.8788	5.2505e+10 	11.0766      	16.4343          	21.84   	26        
71 	421   	234139     	1.83806e+06	14.8788	3.03306e+07	11.0766      	16.4343          	20.914  	26        
72 	410   	5.9037e+07 	1.31555e+09	14.8788	2.94461e+10	11.0766      	16.4343          	23.836  	26        
73 	415   	831996     	1.12517e+07	15.9394	2.40396e+08	17.4754      	29.1311          	26.25   	37        
74 	418   	6.89654e+06	1.41936e+08	15.498 	3.17473e+09	15.7266      	21.7133          	28.78   	10        
75 	415   	71770.2    	859454     	15.498 	1.393e+07  	15.7266      	21.7133          	31.778  	10        
76 	423   	1.53756e+09	3.43445e+10	14.8781	7.68736e+11	15.105       	25.9105          	35.364  	50        
77 	424   	3.21086e+08	7.17142e+09	14.8781	1.60519e+11	15.105       	25.9105          	39.018  	50        
78 	420   	1.95102e+06	3.84226e+07	14.644 	8.57241e+08	14.7869      	25.4489          	43.146  	48        
