gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.7185e+09 	3.47734e+10	61.5579	7.76646e+11	             	                 	        	          
1  	420   	4.78043e+08	1.01665e+10	61.5579	2.27303e+11	59.8683      	57.1918          	3.898   	5         
2  	431   	2.36569e+06	2.02785e+07	60.9987	3.13065e+08	59.718       	70.302           	4.07    	9         
3  	425   	1.21124e+06	9.77564e+06	30.5617	1.47019e+08	30.0458      	39.8509          	4.082   	7         
4  	423   	7.05686e+09	1.55481e+11	30.5617	3.47992e+12	30.0458      	39.8509          	4.162   	7         
5  	427   	1.21699e+11	2.71635e+12	26.0293	6.08004e+13	26.8263      	42.6306          	4.366   	8         
6  	413   	2.99744e+06	4.33081e+07	25.9526	8.55236e+08	26.3565      	44.1836          	4.728   	9         
7  	412   	1.9082e+06 	3.02648e+07	25.8622	6.57985e+08	26.6467      	42.4036          	4.926   	9         
8  	447   	9.84838e+07	2.14103e+09	26.0293	4.79106e+10	26.8263      	42.6306          	5.362   	8         
9  	438   	522853     	4.08905e+06	26.0293	4.8464e+07 	26.8263      	42.6306          	5.862   	8         
10 	416   	6.623e+08  	1.46733e+10	34.8753	3.28429e+11	36.2491      	52.6259          	6.64    	12        
11 	429   	2.73128e+06	4.77711e+07	21.3629	1.0404e+09 	21.7341      	36.7166          	7.434   	9         
12 	416   	5.96848e+07	9.52082e+08	20.4325	1.72727e+10	21.5426      	37.2162          	9.948   	18        
13 	421   	187382     	1.36797e+06	18.7254	1.99638e+07	19.7395      	33.4749          	10.428  	13        
14 	428   	143054     	1.07028e+06	17.1219	1.20247e+07	16.9826      	32.6847          	10.722  	15        
15 	443   	2.18626e+07	4.8515e+08 	21.3629	1.08593e+10	21.7341      	36.7166          	11.3    	9         
16 	406   	2.86137e+06	3.86639e+07	20.5812	7.1881e+08 	21.9302      	39.964           	11.824  	14        
17 	408   	2.30149e+08	5.08471e+09	23.8853	1.13808e+11	25.2471      	41.9962          	13.442  	30        
18 	420   	70499.2    	624316     	19.7439	1.1808e+07 	21.1628      	39.8667          	14.492  	10        
19 	413   	49260.1    	356453     	18.8392	4.2272e+06 	19.7503      	35.3728          	15.392  	15        
20 	420   	9.5919e+07 	2.14117e+09	18.8392	4.79261e+10	19.7503      	35.3728          	16.524  	15        
21 	424   	328692     	6.0079e+06 	18.8392	1.33726e+08	19.7503      	35.3728          	17.262  	15        
22 	418   	3.37417e+06	7.43098e+07	18.8392	1.6633e+09 	19.7503      	35.3728          	17.908  	15        
23 	424   	4.94611e+07	1.03486e+09	16.603 	2.3126e+10 	18.1181      	31.2584          	21.058  	18        
