gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	9.10698e+08	1.43636e+10	83.2433	2.27669e+11	             	                 	        	          
1  	441   	9.1157e+08 	1.4368e+10 	83.2433	2.27634e+11	83.7881      	142.841          	3.324   	3         
2  	405   	76022.5    	456701     	83.2433	6.26953e+06	83.7881      	142.841          	3.282   	3         
3  	438   	6.93905e+08	1.40713e+10	83.2433	3.14044e+11	83.7881      	142.841          	3.166   	3         
4  	429   	93034.4    	819484     	42.0228	1.19891e+07	39.84        	43.8097          	3.216   	5         
5  	398   	1.10089e+10	2.31754e+11	42.0228	5.17773e+12	39.84        	43.8097          	3.16    	4         
6  	420   	1.36223e+07	2.11426e+08	42.0228	3.34983e+09	39.84        	43.8097          	4.072   	4         
7  	411   	2.63862e+09	5.87847e+10	20.9131	1.31578e+12	20.0824      	35.2615          	4.186   	8         
8  	414   	4.10755e+07	7.77762e+08	20.7516	1.71046e+10	19.7023      	33.1957          	4.174   	5         
9  	414   	2.37125e+07	5.23856e+08	20.7516	1.17257e+10	19.7023      	33.1957          	4.314   	5         
10 	429   	2.25679e+08	3.57206e+09	20.7516	7.64876e+10	19.7023      	33.1957          	4.564   	5         
11 	415   	3.30894e+06	6.30673e+07	20.7516	1.40224e+09	19.7023      	33.1957          	4.554   	5         
12 	419   	2.19656e+08	4.20674e+09	20.7516	9.264e+10  	19.7023      	33.1957          	4.914   	5         
13 	435   	2.48344e+06	4.43341e+07	20.7516	9.84491e+08	19.7023      	33.1957          	5.344   	5         
14 	409   	334021     	3.08406e+06	23.7787	6.56378e+07	21.7758      	31.2997          	5.816   	13        
15 	423   	7.81478e+07	1.73783e+09	23.9799	3.88982e+10	23.6332      	37.8794          	6.578   	10        
16 	431   	3.17751e+06	6.09372e+07	24.2177	1.3632e+09 	23.1749      	40.8784          	7.612   	16        
17 	415   	7.33821e+06	1.4982e+08 	18.5549	3.34983e+09	21.2899      	52.7573          	7.784   	11        
18 	414   	9.81811e+07	2.18472e+09	18.5549	4.8901e+10 	21.2899      	52.7573          	8.882   	11        
19 	415   	3.07137e+08	4.84275e+09	11.3829	7.6727e+10 	12.5591      	17.251           	9.594   	16        
