gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.41243e+09	2.86287e+10	37.3609	6.39012e+11	             	                 	        	          
1  	413   	128536     	1.24358e+06	37.3609	2.17015e+07	36.3107      	52.7804          	4.55    	3         
2  	425   	1.48283e+07	2.38799e+08	29.6764	4.76027e+09	33.3389      	38.5118          	4.706   	7         
3  	409   	82021.1    	739048     	29.6764	1.1276e+07 	33.3389      	38.5118          	4.64    	7         
4  	436   	1.31743e+06	1.9318e+07 	29.6764	3.1451e+08 	33.3389      	38.5118          	4.418   	7         
5  	412   	103972     	954134     	29.6764	1.18685e+07	33.3389      	38.5118          	4.19    	7         
6  	420   	6.53416e+08	1.44433e+10	29.6764	3.23276e+11	33.3389      	38.5118          	4.266   	7         
7  	430   	5.43618e+08	1.212e+10  	22.6023	2.71284e+11	27.872       	43.9069          	4.208   	8         
8  	424   	2.17991e+07	4.84569e+08	22.6023	1.08462e+10	27.872       	43.9069          	3.924   	8         
9  	408   	1.49031e+06	2.70239e+07	22.6023	6.03824e+08	27.872       	43.9069          	4.126   	8         
10 	421   	1.58982e+06	3.12586e+07	22.6023	6.95152e+08	27.872       	43.9069          	3.888   	8         
11 	391   	1.11027e+10	2.48013e+11	22.6023	5.5513e+12 	27.872       	43.9069          	3.85    	8         
12 	429   	797347     	1.37082e+07	22.6023	2.96519e+08	27.872       	43.9069          	3.764   	8         
13 	394   	8.49337e+08	1.89577e+10	22.6023	4.24333e+11	27.872       	43.9069          	3.86    	8         
14 	410   	182510     	1.38494e+06	29.6764	1.82166e+07	33.3389      	38.5118          	4.05    	7         
15 	408   	4.68524e+09	1.03974e+11	24.0275	2.32726e+12	26.6234      	37.4638          	4.16    	9         
16 	401   	1.66569e+08	3.64508e+09	22.8164	8.15796e+10	25.9271      	38.506           	4.142   	8         
17 	416   	4.081e+07  	9.06132e+08	22.8164	2.02821e+10	25.9271      	38.506           	4.15    	8         
18 	410   	1.00159e+10	2.23679e+11	29.6764	5.00662e+12	33.3389      	38.5118          	4.242   	7         
19 	410   	1.11176e+06	2.04228e+07	26.6802	4.54789e+08	33.1359      	51.2039          	4.104   	8         
20 	422   	3.25599e+06	6.87257e+07	24.0275	1.5382e+09 	26.6234      	37.4638          	4.066   	9         
21 	436   	1.00694e+06	1.87894e+07	24.0275	4.18658e+08	26.6234      	37.4638          	4.086   	9         
22 	416   	3.01712e+09	5.3896e+10 	22.059 	1.16275e+12	24.5929      	37.3671          	4.17    	9         
23 	419   	230423     	2.68036e+06	23.7242	4.53834e+07	29.6381      	47.2153          	4.186   	8         
24 	416   	447701     	3.34602e+06	20.0659	5.94316e+07	20.9238      	38.1434          	4.15    	5         
25 	399   	1.63419e+14	3.65051e+15	20.0659	8.17096e+16	20.9238      	38.1434          	4.158   	5         
26 	430   	462196     	5.83018e+06	20.0659	1.26534e+08	20.9238      	38.1434          	4.316   	5         
27 	420   	3.55884e+07	7.77611e+08	20.0659	1.74036e+10	20.9238      	38.1434          	4.386   	5         
28 	418   	2.18112e+07	4.84574e+08	20.0659	1.08464e+10	20.9238      	38.1434          	4.27    	5         
29 	414   	60636.9    	515923     	20.0659	8.37468e+06	20.9238      	38.1434          	4.364   	5         
30 	431   	1.08552e+07	2.38108e+08	21.5661	5.3296e+09 	25.2315      	38.2341          	4.594   	12        
31 	407   	183411     	1.29999e+06	21.5661	1.18122e+07	25.2315      	38.2341          	4.832   	12        
32 	435   	1.06385e+06	2.04165e+07	21.5661	4.55942e+08	25.2315      	38.2341          	5.242   	12        
33 	430   	2.91353e+06	5.70408e+07	21.5661	1.26392e+09	25.2315      	38.2341          	5.428   	12        
34 	417   	9.52506e+08	1.90682e+10	21.5661	4.24342e+11	25.2315      	38.2341          	5.87    	12        
35 	417   	504747     	9.86638e+06	20.1163	2.20499e+08	23.915       	37.6871          	6.066   	6         
36 	406   	1.24088e+07	2.75551e+08	20.1163	6.16774e+09	23.915       	37.6871          	6.37    	6         
37 	401   	363946     	4.73478e+06	20.1163	8.44794e+07	23.915       	37.6871          	6.548   	6         
38 	405   	3.73004e+09	5.99344e+10	20.4045	1.27544e+12	24.4109      	38.1451          	7.06    	5         
39 	439   	2.98551e+08	5.42583e+09	20.4045	1.17227e+11	24.4109      	38.1451          	7.808   	5         
40 	422   	356625     	3.766e+06  	20.4045	7.74359e+07	24.4109      	38.1451          	8.448   	5         
41 	444   	2.04703e+08	3.22338e+09	21.2507	5.28668e+10	21.3859      	39.4849          	9.534   	17        
42 	425   	1.53928e+09	3.43762e+10	19.4246	7.69444e+11	22.1646      	34.6588          	11.102  	11        
43 	421   	3.40186e+07	7.58158e+08	21.0958	1.697e+10  	23.906       	37.0666          	11.672  	15        
44 	439   	4.65144e+07	1.03418e+09	20.7188	2.31483e+10	23.2455      	36.9833          	12.894  	22        
45 	418   	8.2936e+07 	1.849e+09  	18.7322	4.13865e+10	22.9249      	35.813           	14.87   	17        
46 	416   	369303     	4.36722e+06	18.7829	7.81912e+07	20.2912      	30.3105          	15.182  	14        
47 	426   	1.06318e+06	2.06226e+07	18.7829	4.58454e+08	20.2912      	30.3105          	16.552  	14        
48 	423   	8.3107e+08 	1.85187e+10	20.2269	4.14506e+11	23.4285      	36.6601          	17.614  	34        
49 	421   	1.27816e+07	2.32456e+08	18.6958	5.1012e+09 	23.3537      	37.4561          	17.708  	24        
50 	415   	1.45976e+06	2.02713e+07	19.9171	3.20325e+08	23.5311      	36.5733          	19.064  	24        
51 	421   	53514      	643034     	19.3667	8.61236e+06	23.6775      	37.5533          	18.886  	28        
52 	421   	29813.6    	435820     	17.205 	7.40722e+06	20.5033      	32.1064          	19.388  	16        
53 	432   	36028.6    	445814     	16.3189	7.31512e+06	17.6881      	25.8103          	15.624  	18        
54 	427   	216267     	3.72629e+06	14.7759	8.17753e+07	17.7778      	27.9776          	16.446  	19        
55 	423   	40593.9    	561559     	14.7759	1.17561e+07	17.7778      	27.9776          	17.892  	19        
56 	438   	26433.2    	306104     	15.0457	4.43847e+06	17.1962      	25.6532          	19.486  	17        
57 	435   	3.57427e+07	7.97529e+08	15.0457	1.78512e+10	17.1962      	25.6532          	21.342  	17        
58 	426   	15536.9    	220374     	14.8322	4.83428e+06	16.7335      	25.0194          	24.462  	23        
59 	435   	44448.5    	525475     	14.5637	8.20044e+06	16.9317      	25.9459          	24.854  	36        
60 	431   	33407.4    	539188     	13.7297	1.1557e+07 	15.0764      	22.7356          	27.412  	31        
61 	427   	16233.9    	317714     	13.28  	7.08841e+06	14.3767      	21.4166          	24.162  	36        
62 	420   	57629.8    	771219     	13.3081	1.60792e+07	14.4291      	21.3978          	25.416  	31        
63 	410   	4995.08    	82497.6    	13.3081	1.77198e+06	14.4291      	21.3978          	26.632  	31        
64 	417   	1.96065e+07	4.35275e+08	13.2182	9.74282e+09	14.551       	21.3412          	27.94   	24        
65 	425   	23774.6    	495908     	13.3081	1.10938e+07	14.4291      	21.3978          	29.972  	32        
66 	428   	5.78551e+08	1.29237e+10	12.9389	2.89273e+11	13.6537      	20.2696          	30.322  	49        
67 	418   	2560.43    	33731      	12.9389	694709     	13.6537      	20.2696          	33.01   	49        
68 	417   	10847.3    	165481     	12.7521	3.55724e+06	15.1973      	23.1617          	35.092  	38        
69 	424   	636.859    	5455.91    	12.6675	80071.3    	14.3524      	20.4482          	36.252  	25        
70 	432   	653.593    	6114.87    	12.8929	115199     	14.0396      	21.236           	36.396  	51        
71 	420   	103316     	1.39459e+06	12.8919	2.65609e+07	14.1613      	21.9293          	37.128  	39        
72 	419   	940890     	2.03431e+07	12.8428	4.55215e+08	13.9587      	21.3916          	38.024  	49        
73 	421   	135891     	2.63683e+06	12.7692	5.84548e+07	13.4617      	18.9595          	39.708  	33        
74 	406   	56300.4    	683061     	11.9687	1.22142e+07	13.2613      	29.7264          	38.72   	50        
75 	431   	932.939    	8267.44    	10.4196	115199     	11.67        	22.3398          	41.18   	51        
76 	424   	23850.7    	525223     	9.49268	1.17561e+07	11.3527      	19.7778          	45.24   	42        
77 	408   	1973.7     	21356      	9.45841	436932     	11.1979      	19.2089          	45.368  	41        
78 	419   	30315      	545460     	9.45841	1.20576e+07	11.1979      	19.2089          	45.994  	41        
79 	420   	12803.1    	180131     	9.44731	3.55039e+06	11.2558      	19.4718          	45.312  	46        
80 	414   	7613.95    	139535     	8.73439	3.08465e+06	9.59002      	15.5058          	44.068  	58        
81 	417   	42431.5    	618429     	8.51413	1.13171e+07	9.59663      	17.1285          	42.526  	55        
82 	417   	1930.29    	26010      	8.72633	559518     	9.66042      	15.8936          	43.182  	56        
83 	417   	16805.2    	333710     	8.62147	7.45449e+06	10.2627      	19.7263          	42.162  	61        
84 	435   	320606     	5.99166e+06	8.73439	1.33098e+08	9.59002      	15.5058          	43.08   	58        
85 	435   	1033.33    	7882.77    	8.73439	115199     	9.59002      	15.5058          	42.306  	58        
86 	420   	22553.1    	386046     	8.73439	8.07795e+06	9.59002      	15.5058          	42.068  	58        
87 	415   	1068.09    	13294      	8.73439	280749     	9.59002      	15.5058          	44.152  	58        
88 	442   	5632.42    	83217      	8.73439	1.67639e+06	9.59002      	15.5058          	42.99   	58        
89 	431   	39807.7    	810066     	8.73439	1.81081e+07	9.59002      	15.5058          	44.346  	58        
90 	409   	15000.8    	327055     	8.72847	7.32061e+06	9.62276      	15.6927          	45.67   	56        
91 	415   	596841     	1.32737e+07	8.57469	2.97109e+08	9.50378      	15.3313          	44.462  	58        
92 	412   	6.65614e+06	1.45709e+08	8.57469	3.26139e+09	9.50378      	15.3313          	44.318  	58        
93 	412   	7969.45    	141241     	8.56129	3.08465e+06	9.69499      	16.6032          	48.216  	64        
94 	428   	11384.1    	196913     	8.51422	4.30218e+06	9.63081      	16.4811          	49.436  	64        
95 	426   	922.082    	7509.25    	8.40882	80741.1    	9.37806      	16.3861          	50.384  	51        
96 	410   	1040.15    	7641.42    	8.40882	80383.1    	9.37806      	16.3861          	51.422  	51        
97 	415   	17773.6    	361085     	8.40882	8.06925e+06	9.37806      	16.3861          	51.396  	51        
98 	417   	30785.9    	542746     	8.45741	1.17561e+07	9.29376      	15.8294          	52.034  	60        
99 	441   	24939.9    	538252     	8.28814	1.20475e+07	9.27729      	16.6494          	51.34   	61        
100	424   	20867.6    	347531     	8.28814	7.2429e+06 	9.27729      	16.6494          	51.056  	61        
