gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	9.81815e+08	1.40429e+10	138.494	2.21949e+11	             	                 	        	          
1  	420   	1.60714e+06	1.79519e+07	76.1905	3.97195e+08	70.498       	79.0286          	3.976   	8         
2  	407   	6.54012e+08	1.45905e+10	76.1905	3.26581e+11	70.498       	79.0286          	4.156   	8         
3  	429   	1.91063e+08	2.99036e+09	46.5452	4.78104e+10	42.0912      	75.2488          	4.482   	7         
4  	415   	565478     	4.20409e+06	66.346 	8.28733e+07	69.7987      	119.717          	4.794   	8         
5  	390   	3.32496e+07	7.39981e+08	66.346 	1.65632e+10	69.7987      	119.717          	6.526   	8         
6  	413   	475953     	8.17981e+06	65.197 	1.82141e+08	68.1021      	117.006          	6.54    	8         
7  	428   	98411.9    	829602     	65.0711	1.2207e+07 	60.2619      	74.4256          	6.89    	8         
8  	418   	149322     	1.64819e+06	65.0711	3.49873e+07	60.2619      	74.4256          	7.26    	8         
9  	428   	26040.1    	204903     	65.0711	3.62191e+06	60.2619      	74.4256          	7.914   	8         
10 	420   	1.2884e+08 	2.26006e+09	59.1239	4.78335e+10	61.2438      	57.7434          	10.162  	24        
11 	401   	1.11823e+08	2.49724e+09	58.7537	5.5896e+10 	60.3819      	57.5621          	11.234  	26        
12 	417   	11810.5    	52180.3    	41.9319	485625     	37.9602      	64.5098          	12.044  	17        
13 	424   	21970.9    	92206.5    	26.0942	1.00639e+06	25.8117      	45.5583          	20.084  	26        
14 	421   	14990.3    	62724.1    	26.0942	469817     	25.8117      	45.5583          	22.364  	26        
15 	418   	17706.2    	86991.5    	26.0942	947217     	25.8117      	45.5583          	23.926  	26        
16 	429   	56447.7    	661605     	25.4564	1.3163e+07 	25.4141      	44.9783          	25.458  	26        
17 	414   	2.23347e+08	3.0893e+09 	26.0942	4.75757e+10	25.8117      	45.5583          	27.652  	26        
18 	415   	9921.8     	51024.3    	22.8   	478353     	26.3994      	48.2671          	28.906  	30        
19 	414   	16646.7    	64214.6    	22.6209	459777     	23.5627      	43.4033          	30.85   	34        
20 	413   	9.56636e+07	2.13614e+09	22.6209	4.78134e+10	23.5627      	43.4033          	31.97   	34        
21 	420   	63243.7    	1.01001e+06	23.3374	2.23555e+07	24.0141      	43.5707          	35.606  	34        
22 	428   	6280.13    	38677.9    	21.8745	486215     	23.3133      	43.0883          	39.73   	39        
23 	435   	16311.4    	77464.5    	20.4968	760906     	24.182       	44.9528          	44.922  	57        
24 	419   	10396.2    	55406.1    	21.8745	640690     	23.3133      	43.0883          	46.202  	41        
25 	418   	32856.8    	333893     	20.9534	6.18739e+06	23.0727      	42.2793          	48.564  	48        
26 	429   	11171.6    	58935.3    	20.9534	474899     	23.0727      	42.2793          	48.674  	48        
27 	390   	11135.7    	91916.5    	20.9534	1.78029e+06	23.0727      	42.2793          	52.37   	48        
28 	433   	6.28535e+07	9.13835e+08	20.9534	1.656e+10  	23.0727      	42.2793          	51.002  	48        
29 	407   	87502.2    	1.10271e+06	19.3292	1.81752e+07	21.3108      	43.4128          	54.804  	28        
30 	413   	10142      	56058.2    	19.3292	493452     	21.3108      	43.4128          	50.58   	28        
31 	432   	7512.56    	43713.6    	19.3292	469315     	21.3108      	43.4128          	53.338  	28        
32 	419   	2.34275e+07	5.22679e+08	19.3292	1.16992e+10	21.3108      	43.4128          	56.776  	28        
33 	418   	72582.7    	972046     	19.3292	2.03687e+07	21.3108      	43.4128          	60.666  	28        
34 	411   	11049.3    	57166.4    	19.3292	577268     	21.3108      	43.4128          	64.852  	28        
35 	414   	9005.63    	42462.8    	18.1053	486689     	20.3862      	37.1782          	49.37   	61        
36 	436   	12484.1    	80158.9    	18.1053	1.19591e+06	20.3862      	37.1782          	54.174  	61        
37 	421   	11126.4    	60848.8    	15.3162	468044     	19.3695      	35.1939          	56.462  	64        
38 	418   	6637.72    	40948.3    	17.6398	470953     	21.9947      	42.4889          	68.662  	81        
39 	398   	14387.3    	160285     	17.339 	3.4487e+06 	21.2443      	40.0876          	71.074  	73        
40 	429   	20920.4    	210370     	17.3314	4.49802e+06	21.2232      	40.0204          	53.42   	76        
41 	419   	9.25646e+07	2.06693e+09	17.339 	4.62643e+10	21.2443      	40.0876          	64.462  	73        
42 	411   	16979.1    	86864.4    	17.339 	1.0177e+06 	21.2443      	40.0876          	70.454  	73        
43 	427   	2.02012e+08	4.51219e+09	14.1074	1.00997e+11	13.5926      	25.2708          	67.256  	65        
44 	406   	4824.73    	34637.2    	12.9909	465469     	12.7323      	24.8642          	81.74   	65        
45 	414   	6618.88    	37508.7    	13.632 	466783     	13.2739      	24.4965          	69.814  	65        
46 	405   	10023.4    	89175.8    	13.632 	1.72276e+06	13.2739      	24.4965          	69.898  	65        
47 	410   	8405.52    	53027.2    	13.632 	711069     	13.2739      	24.4965          	71.128  	65        
48 	420   	12217.9    	123863     	13.632 	2.58971e+06	13.2739      	24.4965          	71.904  	65        
49 	428   	7469.8     	43191.8    	13.632 	473897     	13.2739      	24.4965          	74.334  	65        
50 	412   	8448.27    	50460.2    	13.632 	467080     	13.2739      	24.4965          	74.92   	65        
51 	438   	14249.7    	156249     	14.3362	3.35032e+06	14.9503      	23.941           	75.052  	108       
52 	416   	8699.24    	55836.8    	14.4147	676318     	17.4839      	34.0155          	74.794  	88        
53 	423   	350457     	7.57976e+06	14.8688	1.69661e+08	18.6702      	41.0828          	73.134  	64        
54 	405   	8302.23    	50615.8    	15.1504	700965     	17.951       	32.2781          	74.414  	54        
55 	430   	11755      	63528.9    	14.5108	655369     	19.0081      	41.7846          	75.668  	70        
56 	426   	19410.6    	209978     	15.3029	4.55026e+06	16.966       	34.3934          	76.922  	97        
57 	423   	8483.13    	49684.1    	14.4386	466490     	18.7047      	40.3967          	77.226  	103       
58 	437   	4625.48    	27873.2    	15.1887	437193     	15.219       	24.8426          	79.968  	86        
