gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	6.19655e+08	1.04479e+10	79.0835	2.27991e+11	             	                 	        	          
1  	406   	9.71999e+07	2.16162e+09	79.0315	4.83842e+10	88.4071      	94.1416          	3.28    	6         
2  	411   	2.32201e+07	5.13162e+08	79.0835	1.14863e+10	88.4621      	94.1494          	2.778   	4         
3  	414   	1.23717e+09	2.55372e+10	35.5434	5.69649e+11	38.3866      	48.9359          	4.144   	5         
4  	426   	2.65385e+09	5.90893e+10	34.9361	1.3226e+12 	38.7354      	52.8542          	3.962   	3         
5  	409   	676552     	1.78933e+06	20.9104	1.93199e+07	21.7076      	35.029           	4.216   	9         
6  	412   	2.43734e+07	5.19848e+08	20.9104	1.16339e+10	21.7076      	35.029           	4.29    	9         
7  	413   	1.08642e+06	1.04911e+07	20.4122	1.82777e+08	20.1508      	32.2584          	4.464   	11        
8  	436   	3.72783e+10	8.22355e+11	20.3846	1.8406e+13 	20.1328      	32.2643          	4.414   	12        
9  	421   	4.43475e+08	9.87823e+09	20.3811	2.21106e+11	20.1557      	32.2986          	4.726   	13        
10 	408   	2.72988e+09	5.4449e+10 	18.9622	1.2096e+12 	18.5628      	31.0098          	5.046   	10        
11 	414   	6.78505e+10	1.51349e+12	20.3629	3.38766e+13	20.0489      	32.1813          	5.584   	9         
12 	419   	2.79499e+09	6.24167e+10	20.3629	1.39708e+12	20.0489      	32.1813          	5.738   	9         
13 	426   	5.91923e+08	1.07619e+10	20.3629	2.35822e+11	20.0489      	32.1813          	6.11    	9         
14 	416   	3.03671e+07	5.34233e+08	20.3629	1.14863e+10	20.0489      	32.1813          	6.836   	9         
15 	428   	6.48982e+08	1.44783e+10	20.2572	3.2407e+11 	21.7493      	35.6992          	7.98    	13        
16 	424   	632754     	6.43479e+06	18.1158	1.0929e+08 	18.5727      	40.2133          	8.99    	8         
17 	437   	3.11194e+06	3.92738e+07	20.3629	6.53153e+08	20.0489      	32.1813          	10.164  	9         
18 	427   	434198     	4.24545e+06	20.4758	9.07591e+07	20.2775      	32.3953          	11.582  	6         
19 	424   	641842     	7.6386e+06 	20.4758	1.32976e+08	20.2775      	32.3953          	12.762  	6         
20 	428   	2.55275e+08	4.13467e+09	20.4758	7.89938e+10	20.2775      	32.3953          	13.522  	6         
21 	411   	158504     	1.04359e+06	19.7851	1.47381e+07	20.904       	31.3554          	15.436  	8         
22 	418   	1.12937e+06	1.9852e+07 	19.3374	4.30916e+08	21.3813      	30.6996          	17.914  	12        
23 	421   	81252.4    	828878     	19.3374	1.17794e+07	21.3813      	30.6996          	19.304  	12        
24 	432   	62629.4    	604982     	20.0101	8.28354e+06	19.035       	29.4347          	21.13   	22        
25 	428   	741589     	1.48954e+07	20.1183	3.33029e+08	21.2728      	31.9429          	21.822  	19        
26 	426   	242421     	3.02392e+06	18.6699	5.9612e+07 	19.5528      	29.8191          	23.466  	17        
27 	429   	43984.4    	558331     	17.6318	1.17794e+07	18.7459      	28.3853          	17.68   	24        
28 	413   	62685.9    	736267     	17.7464	1.21069e+07	18.7644      	28.5036          	19.046  	24        
29 	422   	30013.2    	530454     	16.0352	1.18093e+07	17.6388      	25.8535          	19.86   	19        
30 	411   	18335.7    	394600     	16.0352	8.83091e+06	17.6388      	25.8535          	26.864  	19        
31 	417   	10945.9    	149360     	15.0609	3.14648e+06	16.0677      	25.2972          	20.13   	20        
32 	403   	64937.1    	769951     	15.0914	1.19104e+07	15.3928      	20.7402          	21.47   	38        
33 	425   	35515.8    	560777     	14.0096	1.22396e+07	14.8332      	18.2985          	23.426  	29        
34 	431   	77037.3    	1.3362e+06 	13.8959	2.95724e+07	14.7194      	18.3965          	25.282  	47        
35 	410   	16040.4    	183451     	13.8959	3.14648e+06	14.7194      	18.3965          	24.546  	47        
36 	411   	26150.6    	226326     	13.2015	3.201e+06  	13.7497      	17.743           	33.93   	48        
37 	432   	643056     	1.38245e+07	12.9526	3.09302e+08	13.2025      	17.6169          	44.008  	65        
38 	416   	341423     	7.1997e+06 	12.908 	1.61112e+08	13.1933      	17.4746          	44.744  	66        
39 	415   	348394     	7.21606e+06	12.5923	1.61112e+08	13.2766      	17.2748          	44.57   	52        
40 	432   	654481     	1.38389e+07	12.5552	3.09302e+08	13.2605      	16.8911          	50.196  	55        
41 	428   	16849.5    	374073     	12.4227	8.37297e+06	13.5682      	17.864           	51.87   	64        
42 	419   	11680      	165108     	12.3205	3.14648e+06	12.6171      	16.4255          	53.764  	66        
43 	415   	120294     	1.51767e+06	12.1345	3.06757e+07	12.5417      	18.0689          	48.932  	53        
44 	425   	33624      	538355     	12.1345	1.17794e+07	12.5417      	18.0689          	48.708  	53        
45 	408   	45346.2    	638371     	12.0952	1.17794e+07	12.4836      	16.598           	49.338  	50        
46 	419   	6064.3     	86157.8    	11.8267	1.75762e+06	12.7203      	16.5295          	57.918  	64        
47 	418   	2.08562e+09	4.65888e+10	11.5038	1.0428e+12 	12.1786      	16.5294          	51.016  	51        
48 	426   	2.19894e+06	4.87641e+07	11.1573	1.0915e+09 	11.6248      	15.7647          	52.662  	48        
49 	426   	31311.7    	550938     	11.1573	1.20767e+07	11.6248      	15.7647          	54.104  	48        
50 	436   	104592     	1.36624e+06	9.84943	2.37421e+07	10.2278      	17.8308          	48.852  	66        
51 	437   	3.37742e+06	7.52998e+07	9.1128 	1.68544e+09	9.34335      	15.4417          	61.87   	74        
52 	453   	108844     	1.20633e+06	8.25271	2.12566e+07	8.73236      	14.2257          	62.662  	78        
53 	413   	1.29194e+07	2.88242e+08	8.09499	6.45176e+09	8.21737      	15.8132          	68.338  	81        
54 	431   	47790.7    	467880     	8.02704	7.81443e+06	8.02995      	15.195           	68.036  	58        
55 	433   	81195.7    	1.01241e+06	8.12589	1.87393e+07	8.86321      	16.6275          	67.114  	80        
56 	426   	890.872    	15082.2    	7.94606	332278     	9.89728      	25.0242          	68.202  	85        
57 	421   	24614.7    	398904     	8.00512	8.34622e+06	8.5081       	13.1353          	70.724  	97        
58 	422   	8312.22    	114078     	7.22526	1.9807e+06 	7.56043      	13.8479          	74.976  	84        
59 	411   	2640.19    	40583.6    	7.22526	709493     	7.56043      	13.8479          	77.088  	84        
60 	396   	35232.2    	552232     	6.98375	1.17794e+07	7.10363      	13.9859          	84.442  	95        
61 	415   	5573.54    	85964.6    	6.86508	1.84202e+06	7.62763      	11.5456          	85.104  	104       
62 	434   	5072.05    	87250.2    	6.98375	1.87616e+06	7.10363      	13.9859          	83.718  	95        
63 	434   	3096.85    	40997.5    	6.66943	684950     	7.40203      	12.3803          	83.394  	95        
64 	408   	25325.8    	527097     	6.34725	1.17794e+07	7.29184      	11.8817          	81.344  	95        
65 	407   	39618.4    	635802     	5.41022	1.17794e+07	5.76752      	11.6435          	86.968  	75        
66 	425   	19540.3    	340688     	4.90969	7.38329e+06	5.43948      	10.6544          	76.188  	74        
67 	423   	91.8481    	593.685    	4.90969	9815.23    	5.43948      	10.6544          	78.55   	74        
68 	433   	1090.43    	19878.8    	4.83395	436112     	5.43541      	10.3834          	78.706  	74        
69 	419   	1.61934e+06	3.41696e+07	5.0679 	7.64539e+08	5.50278      	11.1777          	78.974  	74        
70 	424   	1.54295e+06	3.40361e+07	5.04306	7.61803e+08	5.78362      	10.1093          	80.116  	83        
71 	410   	26491.4    	528028     	4.94745	1.17794e+07	5.69067      	12.2936          	81.62   	122       
72 	428   	33529.2    	436409     	5.16747	8.60619e+06	5.8894       	10.3998          	81.192  	82        
73 	436   	2329.88    	33646.4    	4.92155	587395     	6.16892      	10.9795          	84.172  	66        
74 	407   	17607.9    	387976     	4.86324	8.68387e+06	5.39495      	10.59            	87.594  	79        
75 	418   	499811     	1.11635e+07	4.9216 	2.49873e+08	5.5041       	11.1218          	88.708  	86        
76 	428   	47192.9    	743502     	5.0428 	1.17794e+07	5.66953      	11.98            	89.038  	75        
77 	429   	58590.1    	1.12133e+06	4.91232	2.48974e+07	5.42813      	9.47675          	89.05   	74        
78 	416   	2681.25    	50898.4    	4.9835 	1.12597e+06	5.66702      	11.7444          	88.66   	70        
79 	423   	5242.78    	89893.3    	4.83803	1.89336e+06	5.35388      	11.2747          	93.332  	91        
80 	414   	24536.8    	526545     	4.52197	1.17794e+07	6.01311      	10.8711          	94.492  	117       
81 	392   	47817.9    	753909     	4.51782	1.21069e+07	6.01189      	10.8689          	93.908  	120       
82 	426   	2241.98    	46029.3    	4.51782	1.02959e+06	6.01189      	10.8689          	95.354  	120       
83 	414   	3774.06    	83519.3    	4.51108	1.86945e+06	5.98843      	10.7944          	96.222  	122       
84 	408   	26770.6    	527360     	4.44186	1.17794e+07	5.90429      	10.8863          	98.996  	120       
85 	412   	51.1958    	201.055    	4.44093	2356.06    	5.89021      	10.8882          	98.442  	114       
86 	430   	1.50957e+08	3.37138e+09	4.27503	7.5462e+10 	5.74941      	10.9429          	103.634 	118       
87 	408   	31163.8    	411717     	4.36646	7.65951e+06	5.78808      	10.7766          	103.624 	114       
88 	415   	1.50928e+08	3.37138e+09	4.37361	7.5462e+10 	5.81386      	10.904           	104.63  	113       
89 	410   	54954.3    	879288     	4.30541	1.78845e+07	5.87505      	11.7374          	102.378 	116       
90 	425   	304635     	6.47938e+06	4.26656	1.44973e+08	5.72171      	11.2161          	101.63  	121       
91 	421   	23882      	526282     	4.25674	1.17794e+07	5.77931      	10.7086          	104.768 	124       
92 	418   	55.3633    	281.234    	4.23356	4257.83    	5.67503      	11.1824          	105.61  	123       
93 	428   	3851.87    	84108.5    	4.23356	1.88257e+06	5.67503      	11.1824          	103.688 	123       
94 	425   	7.93922e+08	1.77341e+10	4.2224 	3.96945e+11	5.53191      	9.37571          	105.588 	102       
95 	408   	18443      	341577     	4.19382	7.59116e+06	5.48799      	9.32039          	104.45  	118       
96 	408   	39560.8    	880406     	4.19382	1.97063e+07	5.48799      	9.32039          	105.432 	118       
97 	430   	2.64525e+09	5.90894e+10	4.19373	1.3226e+12 	5.57965      	9.23368          	105.24  	118       
98 	430   	19796.9    	389278     	4.17612	8.67304e+06	5.62415      	11.1897          	107.668 	120       
99 	426   	16965.4    	341830     	4.18333	7.6051e+06 	5.62072      	10.238           	108.322 	120       
100	409   	2494.89    	38545.7    	4.09494	684950     	5.5147       	10.9907          	108.298 	133       
