gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	9.14793e+08	1.39697e+10	79.5303	2.21194e+11	             	                 	        	          
1  	403   	4.42706e+08	9.88385e+09	79.5303	2.21231e+11	74.5101      	124.92           	3.64    	6         
2  	422   	163247     	1.21732e+06	65.7044	1.80876e+07	60.0951      	86.3669          	6.03    	5         
3  	423   	230162     	1.40534e+06	65.7044	1.34975e+07	60.0951      	86.3669          	6.016   	5         
4  	432   	739799     	1.15684e+07	65.7044	2.57594e+08	60.0951      	86.3669          	6.518   	5         
5  	426   	3.36913e+07	7.42314e+08	65.5571	1.66149e+10	65.2421      	61.0869          	6.888   	4         
6  	413   	865453     	1.42808e+07	49.2799	3.1493e+08 	47.2614      	75.3921          	7.096   	9         
7  	418   	3.37015e+07	7.42308e+08	49.2799	1.66148e+10	47.2614      	75.3921          	7.278   	9         
8  	420   	7.8085e+08 	1.74413e+10	23.3159	3.90389e+11	23.5715      	37.994           	5.608   	9         
9  	411   	313018     	5.48965e+06	30.9945	1.21648e+08	31.5363      	56.0712          	5.768   	6         
10 	423   	5.64087e+07	9.02001e+08	30.9945	1.66157e+10	31.5363      	56.0712          	6.05    	6         
11 	409   	3.34231e+07	7.4228e+08 	30.9945	1.66146e+10	31.5363      	56.0712          	6.344   	6         
12 	428   	1.11404e+06	1.81856e+07	30.9945	3.81586e+08	31.5363      	56.0712          	5.976   	6         
13 	406   	162318     	1.897e+06  	38.1401	3.84248e+07	39.3307      	69.279           	6.474   	9         
14 	419   	173042     	2.17258e+06	38.1401	4.5282e+07 	39.3307      	69.279           	6.862   	9         
15 	415   	560498     	6.80774e+06	28.3114	1.41888e+08	29.8852      	51.5055          	7.124   	11        
16 	428   	160272     	1.72072e+06	24.2732	3.35314e+07	24.1215      	39.3664          	7.606   	12        
17 	418   	2.37038e+08	5.26733e+09	24.2732	1.17899e+11	24.1215      	39.3664          	8.694   	12        
18 	415   	2.95112e+12	6.59202e+13	17.822 	1.4755e+15 	19.2287      	25.0429          	13.576  	13        
19 	424   	281644     	4.91066e+06	17.822 	1.08914e+08	19.2287      	25.0429          	12.22   	13        
20 	420   	345944     	7.11685e+06	17.822 	1.59167e+08	19.2287      	25.0429          	13.866  	13        
