gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.60895e+08	2.29854e+09	86.8405	4.84399e+10	             	                 	        	          
1  	401   	261263     	1.16405e+06	36.0948	1.23357e+07	37.5768      	52.4106          	3.26    	3         
2  	422   	9.52093e+08	1.91616e+10	36.0948	4.26252e+11	37.5768      	52.4106          	4.32    	3         
3  	417   	1.55646e+09	2.21855e+10	36.0948	4.26299e+11	37.5768      	52.4106          	3.862   	3         
4  	416   	7.32156e+08	1.3128e+10 	28.6114	2.81882e+11	30.4325      	48.4309          	3.702   	6         
5  	427   	2.6176e+09 	5.40786e+10	20.6086	1.20764e+12	22.0316      	36.4241          	3.574   	7         
6  	413   	6.61982e+08	1.46571e+10	20.6086	3.28067e+11	22.0316      	36.4241          	3.37    	7         
7  	431   	6.90802e+08	1.51223e+10	20.6086	3.38451e+11	22.0316      	36.4241          	3.362   	7         
8  	410   	376995     	6.23341e+06	20.6086	1.38089e+08	22.0316      	36.4241          	3.288   	7         
9  	412   	1.01689e+06	1.75418e+07	20.6086	3.90241e+08	22.0316      	36.4241          	3.282   	7         
10 	416   	196149     	2.23531e+06	20.3223	4.57479e+07	21.6512      	35.8326          	6.992   	7         
11 	424   	220374     	1.60674e+06	20.2238	2.28071e+07	21.5092      	34.3153          	7.364   	11        
12 	417   	66587.7    	745048     	19.9353	1.15837e+07	21.1868      	34.8832          	7.672   	6         
13 	415   	170789     	1.35514e+06	19.6384	1.52101e+07	20.7244      	34.0199          	8.102   	9         
14 	416   	2.49096e+09	5.413e+10  	19.8041	1.21119e+12	21.8791      	36.22            	8.762   	10        
15 	416   	155093     	1.18302e+06	19.6165	1.84822e+07	21.1351      	35.478           	9.398   	10        
16 	411   	6.26754e+08	1.39965e+10	17.0294	3.13284e+11	17.9029      	30.748           	9.774   	12        
17 	422   	3.27516e+09	5.73288e+10	17.0294	1.21117e+12	17.9029      	30.748           	9.772   	12        
18 	433   	1.13372e+10	2.53247e+11	19.5555	5.66845e+12	22.6041      	38.9395          	10.322  	8         
19 	430   	8.53424e+08	1.90447e+10	19.7814	4.26281e+11	20.7936      	33.2013          	11.512  	13        
20 	396   	1.21897e+10	2.53925e+11	19.6121	5.66847e+12	20.7337      	35.7945          	12.182  	10        
21 	438   	162529     	1.22823e+06	19.5555	1.15354e+07	22.6041      	38.9395          	13.444  	8         
22 	412   	2.03429e+06	2.93809e+07	19.5549	5.2716e+08 	20.8761      	31.8638          	14.302  	10        
23 	438   	5.33995e+07	1.16404e+09	19.169 	2.6053e+10 	20.9662      	33.5399          	15.156  	13        
24 	424   	164276     	1.15176e+06	17.6927	1.16523e+07	18.9929      	38.3196          	15.942  	31        
25 	425   	200012     	1.60868e+06	17.6927	2.28334e+07	18.9929      	38.3196          	17.098  	31        
26 	427   	119766     	1.03821e+06	17.6927	1.32234e+07	18.9929      	38.3196          	17.666  	31        
27 	401   	2.91961e+07	6.48145e+08	17.3841	1.45076e+10	18.5572      	31.2133          	21.698  	24        
28 	421   	149725     	1.40119e+06	15.8538	2.58102e+07	16.8637      	30.1146          	21.834  	16        
