,gen,nevals,mean_training_error,std_training_error,min_training_error,max_training_error,testing_error,std_testing_error,avg_size,elite_size
count,101.0,101.0,101.0,101.0,101.0,101.0,100.0,100.0,100.0,100.0
mean,50.0,420.780594059406,7533781301934.009,1186093833659294.5,22.01338053267327,3762637879969067.5,22.45632028599999,39.048426234598054,58.416071600000016,63.8192
std,29.300170647967224,8.10919105975216,59003110420411.49,9313626817475594.0,16.6701815431171,2.950202957179445e+16,15.904288609826049,19.225374643278354,34.514682098408144,36.35606005033877
min,0.0,416.24,466041.349906,33143226.927168246,9.6802074,153912521.5684,11.128606,21.487382648773025,3.21936,4.28
25%,25.0,418.9,252819267.8338,27274509220.57174,11.3158636,119237291382.6,12.0889872,24.860049910342035,28.23297,29.615000000000002
50%,50.0,420.04,2196351728.01356,264719409527.2698,14.4784668,1098067692470.198,15.2232256,30.05736815926219,64.6888,71.44
75%,75.0,421.02,202701979257.04086,31981735600083.176,23.511418,101297579332249.67,23.304689500000002,51.081214707064994,87.39416,94.91
max,100.0,500.0,578891057588699.8,9.137150858058294e+16,74.62222,2.8944652476152915e+17,77.518454,110.24362651036293,108.78528,115.66
