,tournament_elite_size,elexicase_elite_size,tournament_avg_size,elexicase_avg_size
tournament_elite_size,1.0,0.857732900563146,0.53268584523946,0.6515859159346609
elexicase_elite_size,0.857732900563146,1.0,0.7642623112527542,0.681665014819287
tournament_avg_size,0.53268584523946,0.7642623112527542,1.0,0.9917494383745994
elexicase_avg_size,0.6515859159346609,0.681665014819287,0.9917494383745994,1.0
