gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.72948e+08	2.50779e+09	76.2375	4.78675e+10	             	                 	        	          
1  	391   	1.22256e+11	2.73085e+12	76.2375	6.11249e+13	83.0714      	138.089          	3.428   	6         
2  	435   	1.45505e+12	3.25032e+13	23.0441	7.27522e+14	24.4832      	39.7124          	3.59    	3         
3  	419   	6.82279e+08	1.12925e+10	23.0441	2.24703e+11	24.4832      	39.7124          	3.988   	3         
4  	421   	2.0059e+06 	3.56246e+07	23.0441	7.8795e+08 	24.4832      	39.7124          	4.142   	3         
5  	419   	645214     	6.93391e+06	23.0441	1.49592e+08	24.4832      	39.7124          	4.37    	3         
6  	425   	243744     	1.97276e+06	24.3292	3.70443e+07	25.6706      	39.705           	4.796   	4         
7  	418   	99131      	742972     	24.3292	1.20063e+07	25.6706      	39.705           	5.142   	4         
8  	415   	2.28392e+07	5.06887e+08	24.3292	1.13458e+10	25.6706      	39.705           	5.348   	4         
9  	430   	49741.9    	586569     	24.3292	1.20063e+07	25.6706      	39.705           	6.03    	4         
10 	392   	32572.9    	552127     	24.3292	1.22782e+07	25.6706      	39.705           	6.5     	4         
11 	404   	38194.9    	470455     	23.6469	9.27231e+06	25.2736      	42.6781          	6.924   	10        
12 	423   	17083.7    	167022     	23.6469	3.39059e+06	25.2736      	42.6781          	7.896   	10        
13 	421   	5223.21    	35995.3    	23.6469	431280     	25.2736      	42.6781          	8.798   	10        
14 	424   	3.39112e+07	7.56777e+08	25.9719	1.6939e+10 	28.1387      	34.1765          	9.59    	9         
15 	415   	6492.84    	41986.7    	16.2559	444435     	17.7473      	32.5495          	11.3    	15        
16 	412   	29377.9    	285467     	16.2559	4.2948e+06 	17.7473      	32.5495          	13.038  	15        
17 	420   	37637.7    	561526     	16.2559	1.23489e+07	17.7473      	32.5495          	15.292  	15        
18 	435   	10061.1    	92617.5    	18.1928	1.78182e+06	19.4697      	34.8362          	16.656  	26        
19 	414   	7458       	58776.3    	18.2049	921442     	19.4815      	34.8448          	18.284  	28        
20 	417   	2.65848e+06	5.82083e+07	18.2049	1.30285e+09	19.4815      	34.8448          	19.44   	28        
21 	411   	7055.17    	47822.9    	17.6437	860439     	18.9348      	34.4451          	21.51   	22        
