gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.57883e+09	2.97671e+10	28.4036	6.62816e+11	             	                 	        	          
1  	411   	135612     	1.62454e+06	28.4036	3.15462e+07	25.2499      	42.7058          	3.17    	4         
2  	424   	1.98441e+07	4.41214e+08	28.4036	9.87581e+09	25.2499      	42.7058          	3.216   	4         
3  	427   	3.87871e+08	8.65652e+09	66.8977	1.9376e+11 	63.9014      	55.1802          	3.198   	4         
4  	394   	4.74582e+07	7.39572e+08	66.4222	1.17683e+10	59.3773      	87.5206          	3.082   	5         
5  	421   	1.21207e+06	1.56285e+07	63.8718	3.15622e+08	60.3026      	85.306           	3.31    	8         
6  	412   	3.30527e+07	7.36623e+08	63.8718	1.6488e+10 	60.3026      	85.306           	3.44    	8         
7  	418   	228128     	2.23374e+06	66.4222	4.52842e+07	59.3773      	87.5206          	3.526   	5         
8  	418   	8.25873e+08	1.63629e+10	74.6576	3.63153e+11	66.5838      	89.4994          	4.092   	6         
9  	406   	154876     	1.67635e+06	74.2602	3.43223e+07	71.8106      	62.594           	4.716   	16        
10 	431   	118870     	739607     	74.6576	1.01412e+07	66.5838      	89.4994          	5.642   	7         
11 	420   	247490     	1.54236e+06	66.4222	1.40311e+07	59.3773      	87.5206          	6.264   	5         
12 	414   	375809     	6.22397e+06	52.5835	1.3851e+08 	46.945       	73.6741          	7.122   	11        
13 	407   	263668     	1.43576e+06	42.5093	1.36239e+07	38.2941      	55.745           	7.906   	13        
14 	428   	1.75143e+08	3.40063e+09	51.8196	7.5239e+10 	46.7021      	74.2628          	8.488   	7         
15 	421   	1.71645e+09	3.81523e+10	35.125 	8.53965e+11	31.7852      	41.2637          	9.486   	18        
16 	388   	5.56124e+08	1.01936e+10	22.4405	2.21248e+11	19.2854      	35.5151          	11      	13        
17 	421   	7.19965e+07	9.97711e+08	22.4405	1.6488e+10 	19.2854      	35.5151          	12.852  	13        
18 	419   	919009     	1.03067e+07	22.4405	1.70138e+08	19.2854      	35.5151          	14.816  	13        
19 	427   	6.00106e+07	8.17803e+08	22.1624	1.64508e+10	19.0328      	35.7178          	16.91   	14        
20 	425   	1.52056e+08	3.38578e+09	21.9161	7.57846e+10	18.9119      	37.2207          	20.274  	47        
