gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	5.57397e+08	1.04839e+10	67.4142	2.29623e+11	             	                 	        	          
1  	403   	1.00633e+08	2.18235e+09	67.4142	4.88317e+10	58.1393      	87.3495          	3.192   	5         
2  	412   	2.24363e+08	3.80444e+09	67.4142	7.81404e+10	58.1393      	87.3495          	3.362   	5         
3  	436   	101074     	786073     	29.7564	1.24908e+07	23.8971      	40.4529          	3.54    	3         
4  	417   	4.57015e+08	1.0206e+10 	29.7564	2.28442e+11	23.8971      	40.4529          	3.49    	3         
5  	404   	2.94887e+06	6.26885e+07	55.2775	1.40314e+09	49.8658      	50.1447          	3.272   	7         
6  	428   	92100.4    	594499     	55.2775	8.84533e+06	49.8658      	50.1447          	3.186   	7         
7  	432   	35722.1    	293399     	55.3284	3.26854e+06	49.9066      	50.5824          	2.984   	11        
8  	418   	49184.8    	799527     	55.1623	1.78067e+07	49.7955      	48.5277          	2.844   	9         
9  	429   	6.63877e+06	1.47943e+08	55.1623	3.31144e+09	49.7955      	48.5277          	3.252   	9         
10 	417   	3.41064e+07	7.61171e+08	68.9771	1.70374e+10	62.31        	91.437           	3.446   	9         
11 	418   	7080.87    	58083.2    	20.1357	1.00856e+06	15.8485      	30.2046          	4.01    	10        
12 	439   	3.41101e+07	7.61599e+08	20.1357	1.70469e+10	15.8485      	30.2046          	4.952   	10        
13 	423   	3126.3     	28927.4    	32.0783	434362     	28.0542      	43.2025          	5.564   	12        
14 	429   	52705.5    	807316     	32.0783	1.75143e+07	28.0542      	43.2025          	6.224   	12        
15 	425   	3295.59    	33189      	29.2437	434362     	25.2227      	30.06            	7.096   	11        
16 	420   	2686.76    	22897.5    	27.7983	438890     	24.5382      	36.4317          	8.104   	14        
17 	420   	6.70466e+06	1.49688e+08	25.7532	3.35049e+09	22.3664      	35.6751          	9.276   	14        
18 	425   	22566.5    	301123     	20.1357	4.74715e+06	15.8485      	30.2046          	10.554  	14        
19 	412   	95533.5    	1.77331e+06	20.1028	3.90358e+07	15.8133      	30.1813          	12.61   	12        
20 	400   	97528.2    	2.10408e+06	20.1254	4.70967e+07	15.839       	30.1859          	14.694  	12        
21 	424   	7734.97    	51001.7    	20.0986	729693     	15.8157      	30.1657          	16.724  	21        
22 	417   	6522.43    	42824.4    	19.8491	526170     	15.5502      	28.6386          	18.4    	28        
23 	402   	6746.95    	54675.2    	20.0286	1.04444e+06	15.6367      	30.3935          	20.682  	12        
24 	423   	42349.5    	832498     	20.029 	1.86217e+07	15.639       	30.4352          	21.528  	22        
25 	441   	4965.71    	29501.3    	19.8882	333188     	15.5875      	30.0043          	22.154  	13        
26 	398   	6.70845e+06	1.49682e+08	19.8882	3.35035e+09	15.5875      	30.0043          	23.868  	13        
