gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.04935e+10	2.3297e+11 	84.9334	5.21462e+12	             	                 	        	          
1  	422   	5.78126e+07	9.37423e+08	78.48  	1.92987e+10	88.5514      	150.841          	3.282   	3         
2  	414   	5.49149e+06	1.20096e+08	78.48  	2.68809e+09	88.5514      	150.841          	3.41    	3         
3  	393   	110723     	1.01146e+06	39.8008	1.68111e+07	42.062       	47.6661          	3.466   	4         
4  	437   	6.80045e+06	1.49485e+08	39.8008	3.34592e+09	42.062       	47.6661          	3.642   	4         
5  	439   	3.85855e+07	7.98919e+08	80.8502	1.78277e+10	86.1726      	119.262          	3.384   	3         
6  	419   	124217     	2.15566e+06	100.198	4.76674e+07	103.261      	91.3515          	3.5     	4         
7  	432   	2.41714e+07	5.24867e+08	68.4658	1.17442e+10	69.8739      	102.525          	3.522   	7         
8  	425   	7070.8     	47186.7    	68.4007	438478     	69.6369      	101.221          	3.63    	12        
9  	430   	4178.89    	39636.3    	68.4007	458231     	69.6369      	101.221          	3.812   	12        
10 	410   	8297.93    	82784.1    	68.3142	1.39425e+06	69.5153      	100.885          	4.41    	12        
11 	417   	3.09751e+06	6.20606e+07	62.5466	1.38135e+09	64.4465      	56.5449          	5.074   	11        
12 	429   	3721.33    	33702.5    	19.0926	434861     	21.6736      	34.1959          	6.008   	12        
13 	412   	3792.2     	34382.1    	18.9503	434554     	21.5291      	34.4054          	6.678   	11        
14 	424   	3238.83    	26026.1    	62.4653	402876     	64.3761      	56.542           	7.392   	9         
15 	440   	3761.13    	29186.8    	62.2135	495737     	64.1281      	56.4126          	8.374   	12        
16 	429   	4244.7     	31122.8    	37.4453	434554     	39.1418      	39.7322          	9.63    	10        
17 	414   	6.72145e+06	1.49482e+08	23.8946	3.34587e+09	27.1327      	39.7884          	12.028  	12        
18 	414   	4496.45    	29544.6    	23.8946	384316     	27.1327      	39.7884          	15.4    	12        
19 	416   	4082.19    	29292.5    	36.3221	395348     	38.9392      	47.1274          	18.284  	27        
20 	435   	3171.4     	20038.5    	25.7731	323359     	29.0025      	41.3952          	21.712  	21        
21 	416   	4.55199e+08	1.01682e+10	25.101 	2.27595e+11	28.3433      	40.8805          	23.374  	28        
22 	417   	3993.34    	25180.9    	25.7731	391414     	29.0025      	41.3952          	25.714  	21        
23 	419   	15986      	288659     	18.856 	6.45353e+06	21.4249      	34.2394          	27.394  	11        
24 	422   	10161.7    	98116.7    	18.9365	2.07168e+06	21.5174      	34.4267          	27.892  	7         
25 	418   	4180.26    	31335.7    	18.9365	448794     	21.5174      	34.4267          	28.474  	7         
26 	405   	12560.4    	149483     	18.6617	2.882e+06  	21.1761      	32.9517          	28.864  	23        
27 	425   	7962.99    	72124.6    	18.6722	1.28589e+06	21.1873      	32.9683          	30.46   	24        
28 	420   	342499     	7.23355e+06	18.6722	1.61708e+08	21.1873      	32.9683          	32.112  	24        
29 	417   	4417.74    	36136.4    	18.8371	492530     	21.4447      	34.0148          	30.854  	13        
30 	408   	4259.22    	36621.4    	18.7915	724892     	21.3617      	33.7232          	31.456  	39        
31 	432   	3229.25    	25738.9    	18.5124	335044     	21.0182      	32.9305          	31.63   	20        
32 	411   	314307     	6.86828e+06	18.515 	1.53722e+08	21.0157      	32.8551          	30.468  	21        
33 	425   	7163.96    	88611.4    	18.5309	1.67885e+06	21.0211      	32.9142          	30.482  	20        
34 	439   	363803     	4.59112e+06	18.505 	6.15559e+07	21.0103      	32.7942          	30.922  	30        
35 	395   	9641.51    	184169     	18.4995	4.11336e+06	20.9957      	32.7781          	31.254  	35        
36 	420   	4460.66    	70343.6    	18.0608	1.56856e+06	19.6359      	21.9621          	31.15   	106       
37 	418   	681635     	1.50702e+07	16.0899	3.37321e+08	17.9629      	28.0567          	32.564  	29        
38 	425   	18923.5    	351177     	16.0893	7.81889e+06	17.9625      	28.0564          	36.072  	31        
39 	415   	1298.69    	11236.7    	14.8446	206104     	16.8203      	28.7517          	41.282  	53        
40 	397   	17989.8    	296321     	14.8445	6.36971e+06	16.8202      	28.7523          	47.144  	48        
41 	422   	1833.09    	14507.4    	14.7701	228619     	16.7437      	28.1712          	53.034  	41        
42 	424   	47246      	665682     	13.8039	1.38747e+07	15.7193      	24.1892          	58.576  	37        
43 	417   	61060.1    	964383     	13.2961	1.76533e+07	14.7999      	23.2528          	64.418  	65        
44 	412   	1909.22    	27391.3    	13.2961	591485     	14.7999      	23.2528          	63.856  	65        
45 	439   	1136.62    	10074.4    	12.9992	193577     	14.8761      	23.0783          	58.374  	58        
46 	427   	291.441    	1555.04    	12.8864	25397.3    	14.7533      	23.3192          	55.4    	37        
47 	423   	3.4387e+07 	7.68123e+08	12.9604	1.71929e+10	14.8335      	23.2108          	52.614  	62        
48 	407   	20697.2    	444019     	12.9604	9.93836e+06	14.8335      	23.2108          	53.426  	62        
49 	432   	539.711    	3343.84    	12.9104	44048.9    	14.7749      	23.578           	55.96   	54        
50 	427   	356932     	6.032e+06  	12.9097	1.23614e+08	14.7742      	23.7336          	54.33   	47        
51 	402   	17362.5    	263661     	12.8543	4.79182e+06	14.4885      	21.4917          	55.486  	75        
52 	415   	1009.77    	10116.5    	12.6086	192604     	14.029       	19.8601          	54.88   	57        
53 	425   	280.23     	1531.63    	12.6086	26446.4    	14.029       	19.8601          	54.726  	57        
54 	410   	349.427    	2190.61    	12.6086	33921      	14.029       	19.8601          	55.604  	57        
55 	419   	2471.02    	30007.7    	10.7284	564169     	12.4439      	19.533           	57.72   	76        
56 	422   	12386      	264690     	10.6982	5.92429e+06	12.4082      	19.5281          	58.046  	49        
57 	430   	575.747    	5388.95    	10.7343	107667     	12.4489      	19.5324          	59.228  	50        
58 	415   	1812.7     	22254.3    	12.4409	434554     	13.8491      	19.2802          	61.638  	59        
59 	418   	944.631    	15078.9    	10.4534	336341     	11.8891      	17.1527          	64.106  	84        
60 	408   	9.68579e+07	2.16364e+09	10.4374	4.84288e+10	11.8712      	17.1269          	64.024  	84        
61 	422   	570.11     	5417.83    	10.4038	76306.7    	11.8316      	16.9475          	64.356  	81        
62 	425   	4048.34    	65274      	9.72057	1.39425e+06	11.1086      	19.108           	63.616  	98        
63 	405   	8592.18    	175295     	10.3476	3.91872e+06	11.5775      	16.931           	65.4    	55        
64 	440   	1397.69    	25001.8    	10.1313	558618     	11.2123      	16.9255          	66.36   	90        
65 	417   	714.032    	7276.53    	10.1313	118174     	11.2123      	16.9255          	67.85   	90        
66 	417   	236.483    	1362.04    	10.0487	23400.3    	11.0811      	16.5916          	68.792  	89        
67 	430   	339.654    	3208.3     	10.0487	60749.3    	11.0811      	16.5916          	71.726  	89        
68 	415   	2903.56    	52053.1    	10.0401	1.1464e+06 	11.0774      	16.5692          	75.158  	91        
69 	399   	505.722    	5310.42    	10.0487	89300.7    	11.0811      	16.5916          	78.388  	89        
70 	400   	11008.3    	210388     	10.0494	4.64771e+06	11.0837      	16.6057          	83.22   	87        
71 	408   	33736.2    	744700     	10.0379	1.66688e+07	11.0582      	16.5157          	85.33   	120       
72 	433   	101.293    	509.204    	9.97959	9658.34    	10.9613      	16.1494          	86.3    	95        
73 	425   	457.654    	2994.38    	9.94456	41811.6    	10.9302      	16.1218          	87.324  	102       
74 	424   	405.265    	3927.28    	9.94293	70231      	10.9506      	16.1764          	89.118  	113       
75 	434   	5426.55    	112046     	9.89082	2.50717e+06	10.9129      	16.3454          	89.224  	93        
76 	408   	176.522    	1247.82    	9.94293	20820      	10.9506      	16.1764          	93.478  	113       
77 	395   	257.509    	2028.04    	9.89351	29999.3    	10.9357      	16.2462          	96.356  	75        
78 	399   	283.263    	3610.81    	9.93001	74035      	10.8359      	15.9744          	101.772 	93        
79 	412   	13114.1    	288326     	9.93001	6.45353e+06	10.8359      	15.9744          	102.83  	93        
80 	414   	4845.92    	73829.6    	9.93001	1.32003e+06	10.8359      	15.9744          	104.366 	93        
81 	434   	469.807    	4852.35    	9.89053	74383.8    	10.9645      	16.3201          	102.19  	139       
82 	404   	8545.16    	185058     	8.83861	4.14143e+06	9.38677      	19.3242          	101.914 	103       
83 	439   	1351.94    	25013.3    	7.84256	557653     	8.20257      	17.1922          	103.212 	91        
84 	436   	260.106    	3168.66    	7.21918	69040      	7.48284      	13.5675          	103.174 	99        
85 	433   	492.748    	8761.37    	6.97265	195639     	6.99681      	12.4656          	104.876 	95        
86 	414   	764498     	1.70669e+07	6.97265	3.8201e+08 	6.99681      	12.4656          	106.346 	95        
87 	418   	386.93     	3956.17    	6.82953	73686.9    	7.03359      	14.2072          	106.272 	110       
88 	441   	219.435    	3297.25    	6.72318	73721      	6.95946      	13.5236          	106.416 	118       
89 	432   	859.757    	9228.62    	6.82953	163363     	7.03359      	14.2072          	106.418 	110       
90 	410   	504.755    	5639.51    	6.89003	96070.9    	7.04857      	13.78            	103.468 	111       
91 	400   	2174.31    	29528      	6.88413	492705     	7.05032      	13.8159          	98.316  	110       
92 	411   	3766.24    	80138.5    	6.61326	1.79366e+06	6.77478      	11.312           	96.936  	99        
93 	404   	7743.8     	167036     	6.0006 	3.73874e+06	6.03075      	10.4636          	94.988  	88        
94 	420   	203.263    	1363.23    	6.0006 	24472.4    	6.03075      	10.4636          	92.934  	88        
95 	423   	435.624    	4028.98    	6.08625	73644.3    	6.16328      	8.57898          	90.526  	92        
96 	419   	531.427    	4932.73    	6.15192	73712.7    	6.35113      	8.97146          	90.632  	97        
97 	426   	115.837    	778.155    	6.38957	12966      	6.63734      	11.8788          	91.448  	76        
98 	435   	238.675    	1516.04    	6.35929	21650.6    	6.54596      	10.886           	90.002  	126       
99 	405   	563.375    	6083.39    	6.35929	117473     	6.54596      	10.886           	92.282  	126       
100	406   	51836.7    	1.13928e+06	6.1592 	2.55004e+07	6.41411      	11.495           	93.646  	140       
