gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	3.29453e+07	5.4245e+08 	83.0788	1.16049e+10	             	                 	        	          
1  	418   	2.33067e+07	5.18465e+08	83.0788	1.16049e+10	83.9526      	140.804          	3.348   	3         
2  	407   	410313     	6.19306e+06	77.4761	1.36506e+08	79.7162      	132.963          	3.502   	5         
3  	426   	206561     	1.84026e+06	77.4761	2.96465e+07	79.7162      	132.963          	3.512   	5         
4  	424   	1.04054e+08	2.17213e+09	34.447 	4.85114e+10	34.3247      	42.259           	3.594   	9         
5  	413   	7.06158e+06	1.47413e+08	34.447 	3.29798e+09	34.3247      	42.259           	3.834   	9         
6  	419   	4.13137e+07	7.77943e+08	34.447 	1.70978e+10	34.3247      	42.259           	4.104   	9         
7  	426   	190765     	1.39072e+06	27.6228	1.94911e+07	26.0307      	45.5716          	4.338   	3         
8  	428   	4.14296e+12	9.25467e+13	21.7265	2.07148e+15	22.829       	40.1747          	4.66    	6         
9  	414   	569093     	6.77156e+06	33.8259	1.47521e+08	30.3375      	40.8706          	5.266   	6         
10 	408   	182589     	1.24219e+06	24.386 	1.93553e+07	25.0507      	40.669           	5.776   	7         
11 	434   	2.8061e+06 	6.11448e+07	27.3815	1.36864e+09	29.3016      	43.5641          	6.96    	6         
12 	411   	1.36411e+07	2.12844e+08	23.4409	3.41799e+09	22.8333      	40.383           	7.932   	9         
13 	401   	247777     	2.44969e+06	18.4716	4.97344e+07	19.3569      	33.5717          	9.814   	15        
14 	428   	3.46167e+07	7.6902e+08 	18.4716	1.72132e+10	19.3569      	33.5717          	10.932  	15        
15 	445   	2.35672e+07	5.20192e+08	18.4716	1.16437e+10	19.3569      	33.5717          	12.524  	15        
16 	422   	174949     	1.323e+06  	18.4716	1.70986e+07	19.3569      	33.5717          	14.688  	15        
17 	427   	2.36216e+07	5.2025e+08 	18.4716	1.16449e+10	19.3569      	33.5717          	16.612  	15        
18 	420   	432124     	2.19522e+06	18.4716	2.85031e+07	19.3569      	33.5717          	17.684  	15        
19 	425   	510335     	5.21806e+06	18.4716	1.09788e+08	19.3569      	33.5717          	19.406  	15        
20 	427   	340343     	1.68285e+06	17.5442	1.58241e+07	19.537       	36.3079          	20.53   	21        
21 	429   	217168     	1.5067e+06 	17.2955	1.94012e+07	19.1086      	35.5313          	21.082  	25        
22 	421   	7.46926e+06	1.49458e+08	17.1032	3.33379e+09	18.6648      	35.0455          	23.188  	35        
23 	405   	515086     	3.32291e+06	17.1034	5.03484e+07	18.6668      	35.048           	26.328  	35        
24 	391   	123402     	978875     	17.1034	1.51579e+07	18.6668      	35.048           	28.614  	35        
25 	419   	505866     	5.32056e+06	17.0962	1.09736e+08	18.6226      	34.9771          	31.302  	35        
26 	419   	297198     	2.31002e+06	17.0971	3.54076e+07	18.6517      	35.0209          	33.342  	29        
27 	415   	161075     	1.19248e+06	15.6312	1.51415e+07	17.7134      	32.1953          	35.22   	65        
28 	422   	1.21447e+06	2.29612e+07	15.6394	5.1216e+08 	17.6418      	31.9462          	35.57   	65        
29 	418   	503888     	5.7977e+06 	15.6322	1.1255e+08 	17.6868      	32.1057          	34.64   	63        
30 	419   	171357     	1.75258e+06	15.5841	3.37605e+07	17.564       	31.9898          	34.92   	60        
31 	415   	327311     	3.02772e+06	15.5841	5.57415e+07	17.5638      	31.9891          	35.308  	62        
32 	414   	395641     	2.97573e+06	15.5817	3.49929e+07	17.5568      	31.968           	36.126  	49        
33 	422   	8.7297e+06 	1.86359e+08	15.3358	4.17126e+09	17.4621      	33.1418          	38.51   	57        
34 	422   	298351     	4.88771e+06	15.3236	1.08401e+08	17.4658      	33.1731          	39.77   	58        
35 	413   	4.51066e+06	9.14637e+07	14.4583	2.04483e+09	16.8229      	31.031           	42.832  	61        
36 	419   	1.50181e+08	3.33829e+09	13.8719	7.47218e+10	15.8007      	26.9667          	44.122  	60        
37 	420   	403721     	5.30158e+06	13.8719	1.09374e+08	15.8007      	26.9667          	46.498  	60        
38 	415   	122398     	1.4378e+06 	13.7129	2.69994e+07	15.7031      	26.7262          	50.61   	84        
39 	412   	95176.8    	1.76597e+06	13.7129	3.92781e+07	15.7031      	26.7262          	54.51   	84        
40 	408   	4872.41    	63575.3    	13.1964	1.06422e+06	15.349       	21.7402          	55.94   	60        
41 	414   	1950       	23612      	13.2195	440438     	14.4355      	22.0921          	57.404  	57        
42 	404   	44349.3    	944677     	13.0867	2.11406e+07	14.3789      	22.0295          	58.422  	58        
43 	431   	2517.57    	25326.2    	13.0801	431439     	14.3806      	22.0414          	58.716  	56        
44 	415   	3155.09    	40428.5    	12.6024	792609     	15.9218      	27.2182          	61.108  	69        
45 	441   	1701.2     	21626.8    	12.4541	432454     	14.503       	25.0004          	61.406  	35        
46 	402   	48189.9    	1.06971e+06	12.4112	2.39437e+07	14.4831      	25.0015          	64.18   	37        
47 	420   	3.4162e+07 	7.63071e+08	12.4112	1.70799e+10	14.4831      	25.0015          	65.688  	37        
48 	423   	3619.89    	35108.2    	12.4561	623928     	14.5044      	24.9944          	66.236  	34        
49 	423   	1252.74    	13696.5    	12.4561	208047     	14.5044      	24.9944          	67.42   	34        
50 	417   	5779.79    	70300.6    	12.1063	1.27782e+06	15.0896      	23.9794          	69.764  	41        
51 	407   	164689     	3.65202e+06	12.1063	8.17441e+07	15.0896      	23.9794          	70.718  	41        
52 	434   	3323.28    	48252.1    	12.1063	1.0366e+06 	15.0896      	23.9794          	68.966  	41        
