gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	2.40376e+14	5.36955e+15	48.2443	1.20187e+17	             	                 	        	          
1  	410   	1.94237e+08	3.06357e+09	80.489 	4.85373e+10	81.478       	111.634          	3.258   	7         
2  	431   	110259     	869638     	66.2941	1.19829e+07	64.5051      	60.3258          	3.246   	4         
3  	425   	2.01955e+08	3.08861e+09	66.2941	4.92714e+10	64.5051      	60.3258          	3.51    	4         
4  	417   	123555     	1.33078e+06	66.2941	2.84387e+07	64.5051      	60.3258          	3.604   	4         
5  	431   	1.15118e+06	2.09064e+07	24.0824	4.66793e+08	24.4039      	35.4082          	3.708   	5         
6  	429   	1.0379e+08 	2.17317e+09	24.0824	4.85358e+10	24.4039      	35.4082          	3.768   	5         
7  	440   	103387     	565797     	47.2048	6.56991e+06	49.9519      	52.6865          	3.974   	12        
8  	421   	96888      	1.20869e+06	47.2048	2.47761e+07	49.9519      	52.6865          	4.442   	12        
9  	434   	81489.1    	713620     	47.2048	1.31173e+07	49.9519      	52.6865          	4.986   	12        
10 	418   	239946     	5.33631e+06	46.5809	1.19444e+08	46.5486      	77.682           	5.744   	18        
11 	421   	4878.05    	40113.7    	26.4109	432027     	28.6938      	37.1665          	6.446   	20        
12 	426   	16467.3    	293365     	25.8296	6.53659e+06	28.1016      	37.0944          	7.364   	22        
13 	409   	5936.11    	57130      	24.7584	1.09506e+06	27.0074      	37.5418          	8.714   	20        
14 	434   	4763.5     	34825.2    	18.5186	489787     	21.7936      	39.9391          	9.404   	16        
15 	424   	27012.9    	535755     	16.0861	1.19829e+07	18.7129      	32.5799          	10.628  	28        
16 	425   	5927.61    	52708.8    	16.0861	1.04689e+06	18.7129      	32.5799          	12.69   	28        
17 	429   	47279.4    	827292     	16.0861	1.83567e+07	18.7129      	32.5799          	14.566  	28        
18 	385   	43026.3    	787924     	16.0861	1.76198e+07	18.7129      	32.5799          	17.326  	28        
19 	422   	8751.04    	41951.6    	16.0048	432027     	18.6342      	32.5262          	19.784  	28        
20 	445   	52947.8    	1.06888e+06	16.1036	2.39191e+07	18.7305      	32.5805          	21.82   	36        
21 	419   	11456      	52800.7    	16.0983	489787     	18.7186      	32.567           	25.084  	34        
22 	427   	8097.02    	37487.9    	16.0865	342263     	18.7125      	32.5937          	28.032  	24        
23 	414   	18692.1    	151897     	16.0555	2.63411e+06	18.66        	32.4854          	30.362  	33        
24 	433   	11599.8    	75890.5    	16.0379	1.37468e+06	18.6527      	32.5329          	30.314  	24        
25 	426   	81484.5    	1.64912e+06	14.8662	3.69102e+07	17.7539      	33.2233          	32.498  	25        
26 	421   	77653.3    	1.52857e+06	15.965 	3.42033e+07	18.5747      	32.4486          	33.244  	23        
27 	443   	22032.7    	274853     	16.0071	5.95279e+06	18.6289      	32.5232          	36.596  	44        
28 	415   	8711.26    	54260.6    	16.002 	775826     	18.6288      	32.5249          	37.982  	37        
29 	436   	6255.33    	35186.7    	15.8337	382856     	18.4573      	32.3826          	39.208  	32        
30 	398   	8.542e+09  	1.90808e+11	15.8509	4.27088e+12	18.5099      	32.5383          	40.692  	22        
31 	425   	164834     	3.48723e+06	15.8509	7.80574e+07	18.5099      	32.5383          	40.804  	22        
32 	426   	4783.79    	28875.2    	15.8509	267062     	18.5099      	32.5383          	42.346  	22        
33 	416   	65304      	1.35337e+06	15.5255	3.02894e+07	18.1153      	32.0363          	41.612  	48        
34 	428   	5932.82    	29623.7    	15.4564	334583     	18.0452      	31.9806          	41.204  	48        
35 	401   	4877.98    	62346.7    	15.3736	1.34222e+06	17.9854      	31.8721          	42.288  	108       
36 	420   	112173     	2.41663e+06	15.3514	5.40934e+07	17.9633      	31.8247          	44.16   	100       
37 	401   	128001     	2.71689e+06	15.3451	6.08136e+07	17.9476      	31.8153          	43.536  	112       
38 	429   	6833.14    	34942.1    	15.2146	293818     	17.8361      	31.7493          	42.608  	97        
39 	430   	6267.25    	35804.2    	14.6487	329227     	17.304       	29.0395          	44.714  	111       
40 	413   	5674.21    	31714.5    	13.5264	332184     	16.8572      	28.1285          	47.828  	100       
41 	438   	5858.68    	34798.9    	13.5264	305442     	16.8572      	28.1285          	51.886  	100       
42 	433   	3675.98    	25088.3    	15.3342	335843     	17.9415      	31.8222          	62.014  	135       
43 	424   	3265.35    	24604.3    	14.7653	286459     	17.4494      	31.8331          	71.832  	96        
44 	418   	4377.84    	40898.9    	14.7189	754801     	17.4087      	31.8514          	83.598  	87        
45 	427   	2009.5     	18466.1    	14.7189	225429     	17.4087      	31.8514          	91.17   	87        
46 	427   	3105.2     	25598.4    	14.7189	280771     	17.4087      	31.8514          	97.094  	87        
47 	437   	2244.52    	21666      	14.1958	271687     	16.3658      	29.0731          	98.328  	76        
48 	405   	2135.78    	18108.6    	13.9425	274969     	16.2474      	28.5967          	99.95   	75        
49 	443   	7506.85    	119755     	13.9425	2.65159e+06	16.2474      	28.5967          	98.034  	75        
50 	431   	3387.49    	30072.5    	13.3428	343099     	15.0918      	25.152           	93.342  	90        
