gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.17217e+09	1.4564e+10 	85.4389	2.2569e+11 	             	                 	        	          
1  	420   	2.8906e+07 	5.17754e+08	90.6458	1.11138e+10	97.8842      	93.818           	3.252   	4         
2  	431   	9.50178e+07	2.11046e+09	89.6304	4.72386e+10	95.5914      	73.6244          	3.406   	5         
3  	421   	3.04818e+08	6.8051e+09 	62.1069	1.52319e+11	68.6923      	62.1093          	3.618   	4         
4  	430   	145760     	1.00515e+06	62.1069	1.16606e+07	68.6923      	62.1093          	3.922   	4         
5  	425   	299846     	5.27706e+06	62.1069	1.1752e+08 	68.6923      	62.1093          	3.97    	4         
6  	405   	1.23775e+08	2.41845e+09	62.1069	5.35039e+10	68.6923      	62.1093          	4.236   	4         
7  	400   	9.49461e+07	2.12006e+09	62.1069	4.74535e+10	68.6923      	62.1093          	4.58    	5         
8  	409   	2.18573e+06	4.84788e+07	62.1069	1.08512e+09	68.6923      	62.1093          	4.964   	4         
9  	436   	2.82571e+06	6.28888e+07	62.1069	1.40765e+09	68.6923      	62.1093          	5.8     	4         
10 	419   	72233.5    	955671     	58.9155	1.78476e+07	65.8292      	58.9862          	6.704   	16        
11 	414   	9437.35    	50828.5    	62.1069	426702     	68.6923      	62.1093          	7.372   	4         
12 	417   	199794     	4.16328e+06	30.1182	9.3177e+07 	36.2953      	49.7786          	7.764   	12        
13 	415   	9.46571e+07	2.11426e+09	30.1182	4.73237e+10	36.2953      	49.7786          	8.112   	12        
14 	410   	2682.92    	23736.6    	30.1182	456504     	36.2953      	49.7786          	9.104   	12        
15 	406   	2.52023e+08	5.62967e+09	30.1182	1.26009e+11	36.2953      	49.7786          	9.384   	12        
16 	412   	2.84943e+06	6.28908e+07	28.8278	1.40765e+09	32.6893      	41.3853          	10.514  	9         
17 	427   	2.51583e+07	5.61755e+08	28.8278	1.25738e+10	32.6893      	41.3853          	11.936  	9         
18 	430   	43835.4    	908381     	28.8278	2.03297e+07	32.6893      	41.3853          	13.95   	9         
19 	432   	3390.98    	28786.3    	28.8278	463137     	32.6893      	41.3853          	16.398  	9         
20 	416   	10464.2    	84268.8    	28.8278	1.2742e+06 	32.6893      	41.3853          	19.802  	9         
21 	408   	12775.1    	220106     	20.501 	4.88852e+06	24.9825      	38.809           	23.06   	41        
22 	422   	4164.75    	33865      	17.095 	433328     	24.5127      	45.1025          	26.188  	44        
23 	423   	1823.74    	22349.1    	17.1019	433093     	24.5176      	45.0941          	30.038  	40        
24 	417   	1249.67    	11937.2    	17.1064	183361     	24.5201      	45.0899          	33.414  	47        
25 	421   	4117.54    	32910.7    	17.1042	433093     	24.523       	45.1077          	35.788  	40        
26 	419   	6603.9     	48149.6    	17.0999	453514     	24.5251      	45.1251          	37.278  	49        
27 	406   	6865.62    	50049.4    	17.0967	659888     	24.5124      	45.0886          	37.07   	45        
28 	436   	32852.4    	521088     	17.0966	1.15594e+07	24.5042      	45.0014          	37.644  	47        
29 	426   	5783.87    	51070.2    	17.0856	971039     	24.4998      	45.0664          	37.786  	53        
30 	433   	10953.2    	72416.1    	17.0772	955629     	24.4916      	45.0447          	37.754  	46        
31 	416   	2.82516e+06	6.2846e+07 	16.9753	1.4067e+09 	24.3243      	44.6415          	40.648  	46        
32 	412   	11479.9    	130997     	16.9753	2.42087e+06	24.3243      	44.6415          	40.33   	46        
33 	410   	10743.6    	95625.8    	16.9599	1.247e+06  	24.329       	44.6733          	41.222  	51        
34 	416   	11178.8    	103152     	16.8882	1.26386e+06	24.2198      	44.4055          	42.668  	46        
35 	412   	8503.36    	78097.8    	15.6689	1.25495e+06	22.4821      	39.8394          	43.838  	35        
36 	432   	13839      	188219     	15.6689	3.95139e+06	22.4821      	39.8394          	44.066  	35        
37 	427   	15601.1    	121555     	15.6666	1.65348e+06	22.5047      	39.821           	44.018  	55        
38 	408   	15733.3    	128971     	15.6541	1.64583e+06	22.4624      	39.8             	44.02   	31        
39 	414   	4398.09    	59687      	15.6489	1.2454e+06 	22.4588      	39.8183          	43.914  	48        
40 	411   	13479.7    	127772     	15.6274	2.08771e+06	22.4288      	39.7596          	41.984  	37        
41 	432   	7239.47    	78332      	15.6391	1.22686e+06	22.4444      	39.7808          	41.768  	42        
42 	422   	4172.54    	65781.4    	15.2751	1.2491e+06 	21.6834      	36.5835          	40.434  	45        
43 	426   	12938.9    	106393     	15.0981	1.63345e+06	21.4         	35.2289          	39.232  	32        
44 	418   	9604.65    	71835.9    	15.2734	843573     	21.6758      	36.5444          	39.056  	36        
45 	405   	21835.3    	139107     	15.2734	1.24856e+06	21.6758      	36.5444          	39.476  	36        
46 	420   	8343.84    	106748     	13.6614	1.68182e+06	19.4726      	33.823           	39.134  	79        
47 	427   	115972     	2.36666e+06	15.2383	5.29494e+07	21.7349      	36.9166          	38.248  	26        
48 	403   	8240.06    	82491.7    	15.2145	1.26392e+06	21.6849      	36.8576          	39.078  	22        
49 	396   	137372     	2.85727e+06	15.1875	6.39359e+07	21.6469      	36.924           	38.922  	61        
50 	419   	10299.4    	104812     	15.1807	1.64823e+06	21.663       	36.9104          	38.852  	28        
51 	416   	26090.7    	166904     	15.0783	1.65733e+06	21.6607      	37.6095          	40.388  	42        
52 	420   	10500.7    	98822.6    	15.0772	1.2562e+06 	21.6631      	37.6098          	40.966  	26        
