gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	7.22196e+08	1.05275e+10	75.3892	2.24702e+11	             	                 	        	          
1  	416   	3.43173e+07	7.64629e+08	75.3892	1.71148e+10	91.6423      	139.111          	3.29    	3         
2  	419   	693894     	8.33728e+06	75.3892	1.71238e+08	91.6423      	139.111          	3.272   	3         
3  	412   	4.75951e+08	1.01322e+10	25.2537	2.26529e+11	28.3998      	48.2148          	3.418   	5         
4  	415   	8.55308e+08	1.9095e+10 	23.6624	4.27405e+11	27.0916      	41.1413          	3.698   	3         
5  	438   	7.56725e+08	1.18325e+10	23.6624	1.9251e+11 	27.0916      	41.1413          	3.998   	3         
6  	411   	1.09761e+06	2.15109e+07	23.6624	4.81072e+08	27.0916      	41.1413          	3.984   	3         
7  	404   	7.4548e+08 	1.66315e+10	23.6624	3.72265e+11	27.0916      	41.1413          	4.218   	3         
8  	419   	2.32862e+07	5.0893e+08 	23.6624	1.13912e+10	27.0916      	41.1413          	4.242   	3         
9  	406   	216810     	3.2642e+06 	45.3799	7.15402e+07	47.8983      	62.405           	4.794   	6         
10 	411   	49142.3    	384205     	51.2081	5.73002e+06	58.3027      	75.1253          	5.488   	7         
11 	424   	63474.9    	652155     	61.5906	1.30834e+07	64.624       	95.0284          	6.142   	8         
12 	423   	22440.3    	227527     	62.1606	4.74505e+06	64.8778      	91.7169          	6.438   	14        
13 	410   	35683.1    	320640     	17.146 	5.7403e+06 	21.4214      	33.6577          	7.164   	10        
14 	412   	50897.2    	587688     	17.146 	1.22539e+07	21.4214      	33.6577          	7.496   	10        
15 	410   	32523.4    	318615     	17.146 	5.9702e+06 	21.4214      	33.6577          	8.21    	10        
16 	401   	104496     	876600     	30.3222	1.27386e+07	36.9587      	50.4593          	9.362   	10        
17 	424   	2.90259e+06	5.52895e+07	17.1277	1.23385e+09	21.3934      	33.4648          	10.352  	10        
18 	425   	146842     	1.01123e+06	34.849 	1.27386e+07	38.8611      	55.9771          	11.662  	10        
19 	441   	360212     	6.08496e+06	34.8479	1.35407e+08	38.86        	55.9765          	13.358  	11        
20 	402   	172158     	1.10794e+06	34.8479	1.6251e+07 	38.86        	55.9765          	14.778  	11        
21 	421   	9.17138e+09	2.04871e+11	30.7408	4.58563e+12	34.696       	51.9728          	14.64   	13        
22 	424   	6.40957e+09	1.43173e+11	30.7408	3.20465e+12	34.696       	51.9728          	15.21   	13        
23 	427   	575595     	5.87739e+06	29.6635	1.08453e+08	33.6378      	51.2398          	15.268  	12        
24 	430   	5.72827e+08	1.27254e+10	22.6887	2.84832e+11	25.7546      	41.1992          	15.018  	9         
25 	428   	123112     	872021     	22.6887	1.18257e+07	25.7546      	41.1992          	16.038  	9         
26 	419   	434210     	7.26154e+06	22.6887	1.62155e+08	25.7546      	41.1992          	16.748  	9         
27 	426   	266029     	3.74181e+06	22.6887	8.27349e+07	25.7546      	41.1992          	18.11   	9         
28 	408   	9.31283e+07	2.07173e+09	18.9071	4.63718e+10	22.4816      	37.6014          	19.874  	9         
29 	412   	1.10861e+06	1.50026e+07	18.8963	2.98697e+08	22.578       	38.6533          	21.796  	32        
30 	408   	189589     	1.26414e+06	16.8053	1.18254e+07	20.3338      	35.5665          	22.08   	11        
31 	418   	9.0369e+08 	2.01835e+10	19.4134	4.51769e+11	24.8935      	50.3883          	21.6    	15        
32 	420   	101951     	806763     	17.742 	1.13826e+07	22.0274      	38.9146          	22.392  	42        
33 	400   	118769     	878618     	14.8322	1.13764e+07	19.4295      	35.3063          	22.65   	43        
34 	411   	1.48144e+07	2.88017e+08	16.5178	6.38619e+09	21.8575      	39.038           	23.782  	47        
35 	429   	161453     	1.32602e+06	18.2484	2.48049e+07	24.2186      	42.9882          	24.742  	23        
36 	410   	5.52384e+09	1.21249e+11	18.2484	2.71361e+12	24.2186      	42.9882          	26.332  	23        
37 	402   	2.1119e+06 	3.39365e+07	14.7292	6.94124e+08	19.2934      	35.3103          	27.008  	53        
38 	426   	8.38232e+09	1.87233e+11	16.5719	4.19085e+12	20.2623      	34.6097          	29.176  	48        
39 	406   	1.49661e+07	3.28771e+08	16.5719	7.35898e+09	20.2623      	34.6097          	32.994  	48        
40 	431   	2.40663e+09	5.37577e+10	15.3022	1.20326e+12	19.9897      	36.4365          	36.18   	53        
41 	417   	267075     	3.14642e+06	15.3022	6.25715e+07	19.9897      	36.4365          	38.766  	53        
42 	388   	1.86993e+06	3.27406e+07	15.2417	7.24941e+08	20.3209      	37.22            	40.548  	44        
43 	423   	265382     	2.2816e+06 	15.2807	2.73936e+07	19.8958      	36.2195          	40.01   	50        
44 	411   	1.28006e+07	2.50114e+08	13.3491	5.53962e+09	17.072       	34.4572          	41.036  	55        
45 	435   	4.53918e+08	1.01205e+10	13.3491	2.26529e+11	17.072       	34.4572          	43.532  	55        
46 	419   	2.46295e+08	5.17542e+09	13.3491	1.15704e+11	17.072       	34.4572          	45.906  	55        
47 	431   	6.48476e+08	1.44761e+10	13.3491	3.24021e+11	17.072       	34.4572          	46.158  	55        
48 	416   	134426     	1.31663e+06	13.3491	2.53216e+07	17.072       	34.4572          	46.366  	55        
49 	417   	245370     	2.8568e+06 	14.8667	5.62085e+07	19.4763      	35.4518          	48.73   	51        
50 	444   	2.20024e+06	3.9736e+07 	14.7663	8.84935e+08	19.5997      	35.6996          	49.97   	60        
51 	404   	183993     	2.11894e+06	14.0971	3.98972e+07	19.3198      	37.4416          	51.678  	68        
52 	415   	24600.1    	239608     	14.0971	3.32459e+06	19.3198      	37.4416          	52.976  	68        
53 	419   	122819     	869467     	14.0974	1.2174e+07 	19.3204      	37.4423          	53.816  	61        
54 	411   	99796      	685332     	14.7663	8.83197e+06	19.5997      	35.6996          	54.09   	60        
55 	414   	212574     	2.01368e+06	14.5676	3.54431e+07	19.212       	35.5976          	56.132  	71        
56 	411   	9.57713e+07	2.13728e+09	14.4853	4.7839e+10 	19.1002      	35.4558          	55.798  	71        
57 	421   	182351     	1.57033e+06	14.5676	2.7238e+07 	19.212       	35.5976          	58.674  	71        
58 	423   	84081.1    	668431     	14.4857	1.20135e+07	19.1         	35.4549          	58.87   	69        
59 	435   	113677     	1.24779e+06	14.4469	2.45804e+07	18.636       	34.5362          	61.506  	45        
60 	413   	1.86802e+09	4.17272e+10	14.4857	9.33984e+11	19.1         	35.4549          	61.636  	69        
61 	427   	1.37294e+06	2.92544e+07	14.4918	6.54763e+08	19.1094      	35.4678          	62.84   	73        
62 	430   	952671     	1.76286e+07	14.4892	3.92671e+08	19.1055      	35.4631          	64.142  	73        
63 	401   	46889.6    	473421     	14.4881	8.83197e+06	19.1038      	35.4613          	63.22   	72        
64 	417   	53532.5    	540566     	14.0939	8.78718e+06	18.5602      	34.2451          	63.602  	33        
65 	413   	84046.7    	1.14108e+06	14.0453	2.46537e+07	18.5187      	34.8145          	63.594  	63        
