gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.10017e+09	1.44264e+10	61.7917	2.2874e+11 	             	                 	        	          
1  	425   	9.48101e+07	2.11743e+09	61.7917	4.73945e+10	59.6345      	56.8992          	3.316   	5         
2  	421   	3.73802e+06	8.20814e+07	26.1818	1.83724e+09	27.4717      	45.5262          	3.43    	3         
3  	434   	658758     	8.52974e+06	26.1818	1.39069e+08	27.4717      	45.5262          	3.468   	3         
4  	415   	98276.8    	800274     	37.4254	1.18174e+07	36.2462      	52.206           	3.638   	4         
5  	408   	110373     	994082     	37.4254	1.76693e+07	36.2462      	52.206           	3.858   	4         
6  	413   	3.40172e+07	7.57772e+08	65.2655	1.69613e+10	65.5337      	59.312           	4.026   	5         
7  	424   	132749     	1.07005e+06	26.1818	1.50212e+07	27.4717      	45.5262          	4.352   	3         
8  	412   	6.67238e+06	1.46958e+08	26.1818	3.28941e+09	27.4717      	45.5262          	4.846   	3         
9  	413   	71923.3    	520676     	26.1818	6.40179e+06	27.4717      	45.5262          	5.302   	3         
10 	414   	3.79532e+09	8.4193e+10 	26.1818	1.88448e+12	27.4717      	45.5262          	6.53    	3         
11 	427   	77736.7    	487368     	26.1818	6.42001e+06	27.4717      	45.5262          	7.38    	3         
12 	435   	9.48564e+07	2.11742e+09	26.1818	4.73945e+10	27.4717      	45.5262          	8.006   	3         
13 	422   	128097     	1.14003e+06	26.1818	1.35425e+07	27.4717      	45.5262          	8.834   	3         
14 	418   	120344     	852107     	26.1818	1.36872e+07	27.4717      	45.5262          	10.29   	3         
15 	427   	131519     	1.09279e+06	26.1818	1.33851e+07	27.4717      	45.5262          	12.264  	3         
16 	433   	4.4459e+09 	9.93118e+10	26.1818	2.2229e+12 	27.4717      	45.5262          	13.91   	3         
17 	420   	3.39814e+07	7.57773e+08	20.6273	1.69613e+10	19.8859      	38.3491          	16.452  	16        
18 	398   	166169     	2.4293e+06 	20.6614	5.26512e+07	19.9083      	38.5645          	18.518  	22        
19 	422   	2.80401e+09	6.26271e+10	20.6632	1.40179e+12	19.9094      	38.5761          	20.834  	17        
20 	407   	150407     	921220     	20.6632	1.32079e+07	19.9094      	38.5761          	23.434  	17        
21 	425   	270125     	2.59192e+06	20.6615	5.15802e+07	19.9083      	38.5651          	26.998  	17        
22 	399   	119416     	890468     	20.6277	1.25329e+07	19.8862      	38.3499          	29.304  	19        
23 	413   	1.3183e+08 	2.94247e+09	20.3677	6.58616e+10	19.6904      	36.888           	33.022  	15        
24 	425   	1.20265e+09	1.9475e+10 	20.3914	3.70007e+11	19.7039      	37.0599          	36.758  	19        
25 	412   	87993.8    	884467     	20.3914	1.6648e+07 	19.7039      	37.0599          	38.352  	19        
26 	421   	67217.2    	481214     	18.8301	7.00161e+06	18.4192      	34.5133          	41.286  	33        
27 	421   	2.84579e+06	6.10056e+07	18.8301	1.36547e+09	18.4192      	34.5133          	41.608  	33        
28 	428   	102675     	899915     	18.3503	1.27406e+07	18.3149      	32.4508          	42.278  	33        
29 	427   	926568     	1.8993e+07 	18.2922	4.25048e+08	18.2167      	32.5834          	42.516  	31        
30 	430   	1.11258e+08	2.48366e+09	18.1528	5.5592e+10 	18.0128      	32.8234          	42.334  	20        
31 	431   	2.63805e+08	4.2007e+09 	18.1664	7.49971e+10	18.0747      	32.597           	38.966  	36        
32 	407   	1.07597e+09	1.69939e+10	18.1364	3.67845e+11	18.0194      	32.6407          	37.586  	32        
33 	419   	1.0373e+09 	1.70957e+10	18.0709	3.67845e+11	17.9457      	32.5811          	36.68   	59        
34 	432   	1.55524e+09	1.9968e+10 	18.0629	3.70007e+11	17.9137      	32.8928          	35.304  	50        
35 	402   	1.08442e+08	2.4208e+09 	18.0607	5.4185e+10 	18.0161      	32.3441          	35.928  	36        
36 	417   	89318.3    	819368     	18.0346	1.63233e+07	17.9703      	32.3875          	34.762  	34        
37 	410   	1.38594e+11	3.09261e+12	17.9481	6.92222e+13	17.903       	31.6354          	35.256  	33        
38 	402   	1.40907e+09	3.14702e+10	17.4306	7.044e+11  	17.4643      	30.4044          	37.434  	34        
39 	394   	1.06829e+08	2.38274e+09	17.9481	5.33332e+10	17.903       	31.6354          	37.214  	33        
40 	402   	1.79875e+08	4.01719e+09	17.6383	8.9917e+10 	17.5019      	32.1556          	37.57   	41        
41 	418   	2.08115e+08	4.64816e+09	17.6385	1.0404e+11 	17.5021      	32.1559          	39.592  	42        
42 	412   	2.71737e+09	5.83426e+10	17.6384	1.30489e+12	17.502       	32.1557          	41.128  	40        
43 	418   	2.61088e+08	4.16505e+09	17.6384	7.49719e+10	17.502       	32.1557          	43.384  	40        
44 	421   	1.50489e+08	3.36125e+09	17.6385	7.52351e+10	17.5021      	32.1559          	44.596  	53        
45 	410   	4.85445e+08	5.45611e+09	17.5307	7.49715e+10	17.5059      	31.7005          	44.782  	46        
46 	413   	1.60222e+08	3.57867e+09	17.3522	8.01016e+10	17.2214      	31.7803          	45.742  	28        
47 	415   	1.50094e+08	3.34985e+09	17.3522	7.49801e+10	17.2214      	31.7803          	44.276  	28        
48 	422   	41177.1    	276952     	17.4773	3.14275e+06	17.3225      	29.4994          	42.338  	28        
49 	425   	6.5392e+08 	7.34278e+09	17.4773	1.0001e+11 	17.3225      	29.4994          	45.988  	28        
50 	415   	3.20132e+08	5.06849e+09	17.4773	8.67001e+10	17.3225      	29.4994          	47.762  	28        
51 	428   	6.44625e+08	1.43996e+10	14.5026	3.22308e+11	14.3591      	29.9761          	51.434  	83        
52 	415   	3.75061e+06	8.36054e+07	14.5026	1.87135e+09	14.3591      	29.9761          	51.748  	83        
53 	435   	7.3992e+08 	1.65281e+10	14.1787	3.6995e+11 	13.5803      	25.6794          	51.796  	29        
54 	407   	63315      	1.26778e+06	14.5021	2.83395e+07	14.3587      	29.9749          	53      	79        
55 	430   	95470.1    	1.31966e+06	14.4136	2.8836e+07 	14.2903      	29.7262          	53.224  	86        
56 	420   	5464.21    	86774      	14.1021	1.84705e+06	14.0011      	28.8428          	57.074  	74        
57 	389   	2.87354e+11	6.41329e+12	13.7343	1.43549e+14	13.7319      	26.6751          	62.422  	76        
58 	418   	1.49981e+08	3.34949e+09	13.7304	7.49719e+10	13.7258      	26.6789          	66.806  	74        
59 	427   	23586.7    	265662     	13.6074	4.37836e+06	13.785       	25.9692          	68.054  	64        
60 	412   	58899.4    	756800     	13.1708	1.59105e+07	13.1975      	28.8061          	70.632  	92        
61 	424   	23914.1    	357905     	12.7934	7.66733e+06	12.8584      	28.0056          	75.138  	96        
62 	427   	1.15856e+08	2.58683e+09	12.7356	5.79013e+10	12.8074      	27.8036          	76.7    	92        
63 	405   	39229.3    	565043     	12.0042	1.18174e+07	12.1873      	25.5203          	75.856  	94        
64 	435   	27528.1    	381262     	12.0038	7.38587e+06	12.1869      	25.5188          	76.04   	93        
65 	427   	3.18807e+10	7.12161e+11	12.0038	1.59404e+13	12.1869      	25.5188          	78.372  	93        
66 	410   	1.49975e+08	3.34949e+09	12.0044	7.49719e+10	12.1879      	25.5168          	79.106  	93        
67 	419   	1.09728e+08	2.45033e+09	12.0044	5.48459e+10	12.1879      	25.5168          	80.82   	93        
68 	427   	1.098e+08  	2.45238e+09	12.0043	5.48919e+10	12.1897      	25.5198          	83.4    	92        
69 	423   	34341.8    	323881     	11.9831	4.11846e+06	12.1842      	25.2923          	83.274  	54        
70 	436   	7.46291e+10	1.65716e+12	11.5388	3.70921e+13	10.1955      	20.4817          	82.618  	82        
71 	422   	64959.9    	853583     	11.5388	1.82663e+07	10.1955      	20.4817          	82.028  	82        
72 	396   	35367      	591050     	11.5002	1.27406e+07	10.161       	20.4076          	82.728  	78        
73 	437   	920910     	2.04509e+07	11.5002	4.57755e+08	10.161       	20.4076          	83.684  	78        
74 	438   	1.49979e+08	3.34949e+09	11.5002	7.49719e+10	10.161       	20.4076          	84.076  	78        
75 	422   	57054.2    	653018     	11.3982	1.30958e+07	10.0439      	20.1612          	85.05   	80        
76 	416   	1.09091e+08	2.4359e+09 	10.9275	5.45229e+10	10.9946      	24.9112          	85.582  	68        
77 	411   	1.49958e+08	3.34949e+09	11.1071	7.49719e+10	9.84199      	19.1354          	85.262  	78        
78 	414   	4324.21    	72932.4    	10.9366	1.55549e+06	9.68744      	18.9406          	85.896  	77        
79 	410   	1.11989e+08	2.49562e+09	10.9366	5.58597e+10	9.68744      	18.9406          	84.586  	77        
80 	431   	34612.2    	559178     	10.9366	1.20488e+07	9.68744      	18.9406          	83.81   	77        
81 	406   	12779.7    	165987     	10.8996	3.14275e+06	9.65673      	18.5446          	83.502  	64        
82 	419   	1.50847e+08	3.34951e+09	10.8997	7.49719e+10	9.65668      	18.5442          	83.628  	63        
83 	419   	1.12986e+08	2.52179e+09	10.7002	5.64454e+10	10.813       	25.1713          	84.014  	74        
84 	416   	12093.9    	164365     	10.5174	3.14275e+06	9.36379      	18.4328          	82.184  	110       
85 	399   	62754.4    	699787     	10.4934	1.21025e+07	11.2052      	25.0767          	84.732  	66        
86 	416   	2.457e+06  	5.48532e+07	10.5174	1.22778e+09	9.36381      	18.4328          	84.186  	109       
87 	418   	1.54482e+08	3.35081e+09	10.0702	7.49719e+10	10.2463      	23.8889          	83.032  	82        
88 	412   	28091.3    	296161     	9.59723	3.60825e+06	9.78805      	22.9617          	83.366  	78        
89 	425   	5608.46    	93711.1    	9.17936	1.97975e+06	9.41662      	22.6451          	85.942  	82        
90 	424   	4.53346e+06	1.00893e+08	9.17939	2.25831e+09	9.4167       	22.6452          	86.194  	82        
91 	429   	47854.6    	868391     	9.17939	1.92538e+07	9.4167       	22.6452          	87.904  	82        
