gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	3.37157e+06	6.14635e+07	79.6233	1.35785e+09	             	                 	        	          
1  	404   	9.55868e+07	2.13354e+09	79.6233	4.77553e+10	87.4081      	146.643          	3.276   	3         
2  	425   	1.05445e+06	2.05157e+07	79.6233	4.58578e+08	87.4081      	146.643          	3.548   	3         
3  	419   	1.64208e+07	2.7362e+08 	35.7495	5.55104e+09	37.922       	54.4503          	3.686   	3         
4  	423   	166754     	1.16251e+06	35.7495	1.29641e+07	37.922       	54.4503          	3.952   	3         
5  	421   	4.50241e+08	1.00438e+10	35.7495	2.24812e+11	37.922       	54.4503          	4.334   	3         
6  	409   	128655     	1.19621e+06	35.7495	2.29146e+07	37.922       	54.4503          	4.74    	3         
7  	416   	178217     	2.09389e+06	35.7495	4.49676e+07	37.922       	54.4503          	4.752   	3         
8  	420   	116870     	1.2122e+06 	45.5873	2.29985e+07	52.9835      	87.426           	5.04    	9         
9  	420   	3.40223e+07	7.58156e+08	45.5873	1.69699e+10	52.9835      	87.426           	5.362   	9         
10 	411   	13905.4    	150246     	45.5873	3.27773e+06	52.9835      	87.426           	5.728   	9         
11 	400   	24144.9    	300019     	45.5873	6.5334e+06 	52.9835      	87.426           	6.148   	9         
12 	427   	19630.9    	218531     	33.8946	4.7824e+06 	38.3263      	53.8049          	6.736   	10        
13 	433   	17349.5    	97873      	25.2032	1.77977e+06	28.9074      	34.0709          	7.674   	9         
14 	431   	6.65964e+06	1.48018e+08	70.4222	3.31312e+09	73.7781      	76.9361          	7.97    	7         
15 	428   	176624     	3.57812e+06	38.6199	8.00941e+07	41.3518      	76.8966          	8.502   	6         
16 	434   	2.61879e+07	5.84751e+08	38.6199	1.30885e+10	41.3518      	76.8966          	9.5     	6         
17 	392   	6725.95    	41619.8    	64.1409	511477     	67.8778      	69.0597          	10.38   	17        
18 	417   	7458       	45031.4    	55.6399	438734     	57.0582      	46.5361          	12.02   	19        
19 	412   	6.10486e+09	1.36372e+11	51.5049	3.05242e+12	57.4871      	80.8883          	13.704  	27        
20 	439   	51132.8    	879867     	48.2826	1.9675e+07 	53.0033      	61.8665          	16.116  	24        
21 	429   	105160     	1.56508e+06	39.1117	3.04432e+07	41.4761      	54.2146          	18.648  	28        
22 	409   	14651.2    	130619     	30.8272	2.75693e+06	34.872       	54.027           	22.388  	37        
23 	419   	7009.11    	38086.2    	30.0957	431140     	33.3448      	51.0614          	23.838  	18        
