gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.44575e+12	3.22887e+13	39.5831	7.2272e+14 	             	                 	        	          
1  	386   	158996     	1.29124e+06	20.9258	1.7683e+07 	20.2735      	39.1649          	3.336   	7         
2  	408   	8.2915e+06 	1.81081e+08	73.5356	4.05307e+09	82.5998      	117.136          	3.53    	3         
3  	426   	1.12201e+06	2.1625e+07 	39.5831	4.83282e+08	42.2797      	48.5993          	3.692   	4         
4  	427   	236988     	1.39429e+06	39.5831	1.75641e+07	42.2797      	48.5993          	3.544   	4         
5  	402   	4.85913e+09	1.08542e+11	39.8465	2.42951e+12	46.6118      	78.1984          	3.64    	9         
6  	433   	9.66107e+07	2.1505e+09 	39.8465	4.8135e+10 	46.6118      	78.1984          	3.81    	9         
7  	409   	3.37345e+07	7.5231e+08 	38.1626	1.68391e+10	42.012       	63.865           	4.154   	9         
8  	429   	9890.13    	54773.1    	67.2236	642223     	77.7001      	78.7453          	4.32    	16        
9  	430   	192084     	4.04242e+06	66.749 	9.041e+07  	77.1258      	77.4025          	5.022   	10        
10 	427   	4965.72    	65524.5    	66.749 	1.33624e+06	77.1258      	77.4025          	5.528   	10        
11 	411   	775914     	1.72409e+07	59.7653	3.85908e+08	66.9903      	58.4089          	6.048   	18        
12 	404   	506456     	1.11867e+07	52.587 	2.50396e+08	63.0436      	70.3612          	7.074   	14        
13 	404   	7352.58    	69066.6    	53.0823	1.33734e+06	63.1635      	66.8281          	7.724   	18        
14 	424   	9962.89    	51308.3    	52.6646	488068     	63.0475      	69.9149          	9.712   	25        
15 	415   	10645.2    	62091.1    	52.7279	848639     	63.1098      	69.9726          	11.632  	29        
16 	407   	8328.99    	48045.9    	45.7141	453221     	53.9849      	65.745           	13.514  	18        
17 	421   	11842.8    	58822.7    	45.2077	477517     	53.4164      	63.7961          	15.386  	24        
18 	401   	12671      	57542      	45.2634	491781     	53.4715      	63.4584          	18.184  	28        
19 	415   	3.56053e+07	7.53448e+08	44.0489	1.68393e+10	51.5875      	54.1727          	21.162  	29        
20 	417   	11234.9    	69016      	36.4309	1.18575e+06	43.9969      	71.8312          	24.128  	30        
21 	387   	8802.34    	49115.7    	36.4309	484097     	43.9969      	71.8312          	25.552  	30        
22 	423   	21034.1    	187754     	36.4309	3.15901e+06	43.9969      	71.8312          	29.56   	30        
23 	422   	236847     	5.12524e+06	21.0672	1.14721e+08	25.1173      	45.2495          	33.07   	42        
24 	422   	8654.48    	49390.3    	21.0663	485672     	25.0782      	45.1223          	35.398  	31        
25 	407   	10423      	59018.1    	23.1371	831333     	26.7065      	38.1295          	38.692  	24        
26 	422   	7363.66    	38059.3    	22.406 	345028     	26.0632      	38.1673          	40.386  	31        
27 	413   	6000.85    	43685.7    	22.2915	578429     	23.4993      	42.486           	42.682  	32        
28 	421   	7412.24    	39678.7    	22.2915	378730     	23.4993      	42.486           	43.246  	32        
29 	428   	8951.86    	49600.7    	21.3976	488584     	21.799       	42.059           	41.828  	31        
30 	428   	9601.29    	89794.4    	20.327 	1.72544e+06	23.8984      	40.5744          	39.676  	39        
31 	418   	9302.45    	74580.2    	20.327 	1.34355e+06	23.8984      	40.5744          	41.46   	39        
32 	432   	4923.85    	35805.8    	20.044 	535518     	22.3063      	41.237           	42.788  	41        
33 	424   	5203.83    	33629.7    	19.8436	449491     	21.3526      	40.1777          	41.232  	34        
34 	425   	10854.2    	58316      	18.2515	561766     	18.5559      	33.099           	41.11   	40        
35 	420   	5322.98    	35018.9    	18.2515	434125     	18.5559      	33.099           	42.126  	40        
36 	416   	7028.28    	45851.8    	18.3464	515537     	22.5099      	38.2432          	44.092  	44        
37 	418   	10781      	65660      	18.8484	675496     	21.0191      	37.2049          	44.97   	45        
38 	422   	19540.7    	260709     	18.8484	5.73324e+06	21.0191      	37.2049          	44.892  	45        
39 	401   	5765.19    	40404.7    	18.5961	493752     	22.0404      	39.1912          	46.082  	44        
40 	420   	3651.65    	29925.5    	18.5961	402865     	22.0404      	39.1912          	46.734  	44        
41 	426   	1871.84    	14778.3    	18.5961	210883     	22.0404      	39.1912          	46.238  	44        
42 	442   	7254.19    	50452.6    	17.1771	610846     	18.2718      	29.5768          	47.726  	56        
43 	408   	2867.94    	20214.3    	17.2705	215399     	18.4523      	28.9967          	48.78   	56        
44 	421   	178707     	3.87771e+06	17.2624	8.6795e+07 	18.4447      	28.9978          	50.74   	56        
45 	417   	32561.3    	611710     	17.2624	1.36691e+07	18.4447      	28.9978          	51.32   	56        
46 	418   	76421.2    	1.53216e+06	18.2276	3.42823e+07	20.1144      	34.0836          	52.742  	45        
47 	429   	5370.99    	58135.5    	18.2276	1.20193e+06	20.1144      	34.0836          	55.312  	45        
48 	423   	7332.39    	59618.9    	18.2276	848639     	20.1144      	34.0836          	56.506  	45        
49 	421   	8037.92    	63497.7    	18.2276	806190     	20.1144      	34.0836          	58.46   	45        
50 	404   	77611      	1.56063e+06	18.1844	3.49135e+07	21.52        	35.1658          	55.894  	41        
51 	415   	39487.1    	690110     	18.1934	1.53927e+07	20.0966      	34.054           	57.224  	45        
52 	417   	55022.1    	1.14996e+06	18.1471	2.57369e+07	21.2856      	34.7189          	55.108  	41        
53 	421   	3771.37    	36842.8    	18.1213	559947     	21.3939      	35.0525          	55.78   	48        
54 	417   	9552.58    	81433.3    	16.5222	1.40472e+06	17.9409      	31.8194          	54.736  	55        
55 	422   	2983.16    	20897.5    	16.5222	224886     	17.9409      	31.8194          	54.096  	55        
56 	401   	1983.36    	15740.5    	16.4604	183289     	17.8854      	31.751           	52.78   	56        
57 	431   	2222.72    	22908      	16.4604	415224     	17.8854      	31.751           	50.942  	56        
