gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	3.04033e+08	3.23005e+09	64.5127	4.73099e+10	             	                 	        	          
1  	411   	187056     	2.97179e+06	108.812	6.58361e+07	115.624      	140.687          	3.212   	2         
2  	429   	4.69962e+08	1.0062e+10 	58.975 	2.25019e+11	66.8245      	93.7708          	3.26    	5         
3  	400   	696809     	1.36313e+07	78.7337	3.04411e+08	90.2201      	126.705          	3.452   	10        
4  	412   	4.50092e+08	1.00531e+10	88.8527	2.25019e+11	104.184      	165.539          	3.55    	7         
5  	417   	88001.7    	723914     	42.3068	1.18078e+07	39.556       	46.2116          	3.674   	4         
6  	410   	138418     	1.6263e+06 	42.3068	2.91788e+07	39.556       	46.2116          	3.538   	4         
7  	422   	65359.2    	644162     	42.3068	1.18078e+07	39.556       	46.2116          	3.282   	4         
8  	413   	2.20612e+07	4.92062e+08	42.3068	1.10139e+10	39.556       	46.2116          	3.338   	4         
9  	410   	85451.4    	803299     	69.7821	1.50557e+07	97.2493      	151.8            	3.588   	3         
10 	425   	163971     	1.40551e+06	65.1898	2.08239e+07	65.8983      	98.2686          	4.224   	10        
11 	412   	101380     	962638     	42.1782	1.50557e+07	45.7699      	46.0411          	4.928   	10        
12 	432   	119734     	919147     	42.1782	1.72969e+07	45.7699      	46.0411          	5.344   	10        
13 	425   	3.58791e+06	7.86772e+07	33.5496	1.76104e+09	38.1058      	54.2576          	5.818   	9         
14 	424   	244649     	1.51031e+06	50.3317	1.3726e+07 	47.8437      	52.1827          	6.344   	6         
15 	425   	91272.5    	717361     	19.8041	1.24885e+07	19.0337      	30.3339          	6.934   	12        
16 	429   	129221     	1.13912e+06	19.8041	1.50557e+07	19.0337      	30.3339          	7.824   	12        
17 	425   	91139      	525753     	19.5327	4.2877e+06 	18.8349      	30.448           	8.946   	14        
18 	430   	4.21948e+10	9.42558e+11	24.6782	2.10973e+13	28.9594      	47.3187          	10.58   	29        
19 	422   	1.14308e+06	1.47243e+07	15.8149	2.66568e+08	14.7924      	25.6392          	13.222  	27        
20 	404   	262857     	1.72835e+06	15.7986	3.0096e+07 	14.7853      	25.6193          	15.542  	27        
21 	415   	3.49049e+07	7.64558e+08	15.7986	1.71128e+10	14.7853      	25.6193          	16.968  	27        
22 	419   	187116     	964798     	15.7981	1.54073e+07	14.7856      	25.6164          	19.792  	28        
23 	416   	431370     	3.33354e+06	15.7992	4.73017e+07	14.7855      	25.62            	21.846  	25        
24 	412   	5.63773e+06	1.01663e+08	15.7992	2.24799e+09	14.7855      	25.6199          	23.33   	24        
25 	420   	3.69286e+09	8.24908e+10	15.746 	1.8464e+12 	14.9599      	26.712           	25.736  	31        
26 	410   	300092     	5.45183e+06	11.3182	1.21792e+08	13.6837      	19.2842          	27.04   	41        
27 	438   	159102     	1.43597e+06	15.0726	2.82477e+07	14.5449      	24.7483          	28.258  	42        
28 	438   	1.02845e+11	2.29736e+12	15.01  	5.14221e+13	15.3623      	23.5427          	31.178  	75        
29 	414   	39210.8    	315974     	13.7518	3.21208e+06	14.7164      	24.8392          	34.21   	40        
30 	421   	1.89223e+10	4.22687e+11	13.7154	9.46103e+12	13.1759      	23.5845          	36.336  	26        
31 	422   	103214     	905416     	13.7154	1.2527e+07 	13.1759      	23.5845          	37.392  	26        
32 	431   	42162      	337366     	13.3115	3.86057e+06	14.0779      	22.8336          	38.816  	54        
33 	425   	32291.2    	279534     	13.3115	3.22084e+06	14.0779      	22.8336          	40.862  	54        
34 	412   	139946     	1.90306e+06	13.4866	4.03222e+07	13.3832      	22.0434          	42.982  	42        
35 	403   	50396.1    	687229     	13.4864	1.2527e+07 	13.3835      	22.0465          	46.914  	48        
36 	420   	61961.6    	648523     	13.305 	1.04776e+07	14.7715      	22.0347          	49.954  	70        
37 	415   	9.61548e+07	2.14684e+09	12.5209	4.8053e+10 	12.8793      	20.6496          	53.798  	59        
38 	436   	35697.9    	581923     	12.0624	1.25235e+07	13.5731      	15.9926          	56.334  	76        
39 	418   	3.40853e+06	7.52295e+07	11.9824	1.68388e+09	12.6027      	17.654           	57.524  	71        
