gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	6.98325e+08	1.07224e+10	23.2685	2.3321e+11 	             	                 	        	          
1  	434   	40877.8    	288191     	23.2685	4.33938e+06	23.4937      	35.2014          	3.17    	3         
2  	407   	2.71335e+07	5.40989e+08	88.9025	1.20331e+10	78.1289      	132.509          	3.35    	3         
3  	432   	1.00138e+08	2.2335e+09 	23.2685	4.99928e+10	23.4937      	35.2014          	3.444   	3         
4  	426   	116015     	983689     	23.2685	1.21071e+07	23.4937      	35.2014          	3.664   	3         
5  	425   	2.29808e+08	5.12829e+09	23.2685	1.14787e+11	23.4937      	35.2014          	3.752   	3         
6  	441   	4.95143e+07	8.39561e+08	23.2685	1.73885e+10	23.4937      	35.2014          	4.126   	3         
7  	437   	343467     	2.68698e+06	27.3577	4.05213e+07	26.2957      	43.3342          	4.428   	7         
8  	415   	3.12069e+07	5.58453e+08	33.3852	1.20231e+10	34.047       	56.792           	4.52    	8         
9  	426   	4.68047e+08	1.04487e+10	33.3852	2.33875e+11	34.047       	56.792           	4.552   	8         
10 	390   	84260.8    	941453     	43.5375	1.98685e+07	46.0566      	57.1183          	4.832   	8         
11 	403   	7.15868e+06	1.5793e+08 	43.5375	3.53499e+09	46.0566      	57.1183          	4.776   	8         
12 	426   	56712.3    	367007     	66.4832	3.66263e+06	64.316       	58.0074          	5.094   	4         
13 	442   	1.11646e+06	1.87021e+07	66.235 	4.1058e+08 	64.0674      	58.5768          	5.392   	6         
14 	420   	1.65261e+12	3.69166e+13	66.235 	8.26307e+14	64.0674      	58.5768          	6.046   	6         
15 	425   	1.00811e+08	2.2466e+09 	19.9396	5.02859e+10	22.22        	36.6277          	6.892   	6         
16 	418   	2.51072e+07	5.54722e+08	36.3864	1.24165e+10	40.2194      	55.255           	7.932   	8         
17 	422   	144935     	948184     	30.7825	1.68932e+07	30.223       	45.899           	9.14    	7         
18 	416   	1.02806e+08	2.22687e+09	33.0086	4.98283e+10	36.8001      	62.98            	10.448  	6         
19 	424   	2.42396e+07	5.37119e+08	38.5611	1.20225e+10	41.2495      	47.1313          	12.186  	14        
20 	435   	320659     	1.80519e+06	33.3975	1.87696e+07	30.6895      	53.5229          	13.112  	17        
21 	392   	2.49359e+07	5.52886e+08	25.7419	1.23754e+10	24.9939      	42.1978          	15.036  	10        
