gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	1.21879e+09	1.47262e+10	19.7326	2.27634e+11	             	                 	        	          
1  	413   	9.90133e+06	2.13305e+08	77.7782	4.77323e+09	77.9146      	133.265          	3.2     	5         
2  	414   	428251     	5.23644e+06	77.7782	1.06434e+08	77.9146      	133.265          	3.292   	5         
3  	422   	2.31117e+08	3.19448e+09	83.2433	4.94791e+10	83.7881      	142.841          	3.322   	3         
4  	399   	1.52535e+07	3.38027e+08	83.2433	7.56616e+09	83.7881      	142.841          	3.372   	3         
5  	408   	8.68384e+08	1.93185e+10	67.3989	4.32408e+11	63.4003      	59.8671          	3.448   	4         
6  	412   	45893.9    	561428     	67.3989	1.1992e+07 	63.4003      	59.8671          	3.448   	4         
7  	424   	55801.5    	757352     	67.3989	1.6529e+07 	63.4003      	59.8671          	3.442   	4         
8  	430   	39962.4    	758681     	37.8975	1.69628e+07	37.8495      	50.6062          	3.616   	9         
9  	417   	10120.9    	74447.9    	67.3989	955809     	63.4003      	59.8671          	4.318   	4         
10 	416   	13611.9    	152160     	67.3989	3.21166e+06	63.4003      	59.8671          	4.824   	4         
11 	415   	9903.61    	87742.9    	58.7488	1.79171e+06	54.4837      	49.0127          	5.55    	7         
12 	427   	9058.47    	60208.9    	67.3989	990907     	63.4003      	59.8671          	5.948   	4         
13 	415   	7520.83    	57692.1    	67.3989	1.07091e+06	63.4003      	59.8671          	6.42    	4         
14 	429   	9636.12    	50921.9    	67.3989	539440     	63.4003      	59.8671          	6.866   	4         
15 	420   	3.4151e+07 	7.62666e+08	67.3989	1.70708e+10	63.4003      	59.8671          	7.676   	4         
16 	423   	14826.2    	71517      	67.3989	955809     	63.4003      	59.8671          	8.464   	4         
17 	422   	2.74658e+06	6.09024e+07	67.3989	1.3632e+09 	63.4003      	59.8671          	9.23    	4         
18 	395   	9167.18    	48792.4    	59.4354	490282     	57.35        	78.2411          	9.834   	6         
19 	413   	79117.2    	1.53602e+06	53.1611	3.43733e+07	52.8558      	82.8516          	11.242  	15        
20 	419   	1.23998e+11	2.7699e+12 	53.1611	6.1999e+13 	52.8558      	82.8516          	12.8    	15        
21 	423   	13301.3    	57927.7    	36.0697	531009     	34.8151      	40.3288          	14.838  	15        
22 	429   	1.5381e+07 	3.4298e+08 	32.4146	7.67696e+09	32.2167      	57.7062          	17.7    	37        
23 	410   	1.53104e+06	2.51743e+07	30.9945	4.99953e+08	30.92        	55.7798          	20.386  	43        
24 	415   	7182.97    	37939.1    	30.5878	398783     	29.688       	49.4398          	22.874  	35        
25 	414   	12390.9    	52854.5    	30.5878	511792     	29.688       	49.4398          	26.046  	35        
26 	421   	18067.6    	135387     	30.2875	2.0805e+06 	31.5144      	51.4463          	30.066  	55        
27 	419   	208711     	3.57673e+06	25.89  	7.74142e+07	26.2601      	26.7788          	32.962  	43        
28 	413   	276957     	4.35007e+06	23.2559	8.46979e+07	23.7487      	40.8887          	37.302  	45        
29 	429   	10397.4    	71632.4    	24.8935	1.20932e+06	26.7437      	44.582           	40.616  	59        
30 	425   	15159.4    	141738     	20.6816	2.14453e+06	23.4569      	38.9614          	42.692  	84        
31 	408   	9339.17    	48514.9    	20.6576	430378     	23.4315      	38.9013          	46.148  	84        
32 	416   	11018.9    	52693.7    	20.643 	487337     	23.4152      	38.8628          	50.282  	76        
33 	442   	5.04634e+07	1.12708e+09	19.2934	2.52276e+10	21.5395      	36.0647          	50.728  	52        
34 	441   	6294.8     	32830.9    	19.7934	392722     	20.3442      	37.6229          	53.674  	48        
35 	422   	10849.2    	56734.3    	20.1942	635046     	19.8449      	35.2792          	55.98   	51        
36 	428   	5737.72    	51828      	20.534 	1.0363e+06 	23.29        	38.3687          	59.14   	92        
37 	431   	6930.17    	38160.1    	19.4007	413689     	21.691       	37.7966          	64.662  	81        
38 	412   	15848.8    	191210     	17.9564	4.15346e+06	20.9         	36.5492          	68.362  	90        
39 	406   	5861.28    	40275.1    	17.9564	574453     	20.9         	36.5492          	71.814  	90        
40 	422   	2.84342e+06	6.09435e+07	13.5018	1.3632e+09 	15.1552      	26.3572          	74.842  	86        
41 	429   	4.55352e+08	1.01716e+10	17.9799	2.27672e+11	20.0519      	34.4209          	76.646  	107       
42 	431   	46109      	702501     	13.7535	1.43846e+07	13.7829      	12.9111          	78.666  	64        
43 	420   	8730.27    	51516.5    	12.3613	530127     	12.056       	12.26            	79.158  	94        
44 	415   	161432     	2.54055e+06	12.3613	5.03343e+07	12.056       	12.26            	81.21   	94        
45 	440   	17971      	208762     	12.2957	4.44147e+06	12.0049      	12.2112          	82.296  	105       
46 	426   	7.79499e+06	1.73971e+08	11.6191	3.89401e+09	11.5869      	10.2158          	85.546  	96        
47 	413   	31196      	634940     	11.6191	1.42061e+07	11.5869      	10.2158          	89.032  	96        
48 	425   	3446       	25439.9    	8.7254 	391138     	9.24461      	15.2809          	88.17   	116       
49 	419   	182484     	3.92673e+06	8.7254 	8.7894e+07 	9.24461      	15.2809          	87.904  	116       
50 	417   	32279.2    	656567     	8.7254 	1.46885e+07	9.24461      	15.2809          	89.802  	116       
51 	427   	2756.14    	23538.4    	6.60991	304391     	7.15024      	11.6594          	89.362  	114       
52 	410   	5648.06    	42452.9    	6.60991	649465     	7.15024      	11.6594          	89.268  	114       
53 	405   	88545.9    	1.91954e+06	6.51096	4.29652e+07	6.79862      	11.3424          	90.432  	98        
54 	434   	506423     	1.11378e+07	6.60477	2.49302e+08	7.14301      	11.6694          	94.692  	109       
55 	415   	5619.63    	43947.9    	6.32303	691308     	6.70945      	11.3818          	95.752  	91        
